X,Y,Z,
85.44922,-233.88672,0,
80.06647,52.72586,0,
80.07135,52.804504,0,
80.0885,52.88138,0,
80.11752,52.95462,0,
80.157684,53.0224,0,
219.647,249.2237,0,
219.6893,249.29593,0,
219.719,249.37418,0,
219.7352,249.4563,0,
219.73749,249.53998,0,
219.72577,249.62286,0,
219.70038,249.70264,0,
219.66208,249.77707,0,
219.61185,249.84406,0,
219.55118,249.9017,0,
219.48172,249.94846,0,
219.40546,249.98294,0,
219.3245,250.00424,0,
219.24112,250.01172,0,
219.15768,250.00519,0,
219.07648,249.9848,0,
218.99982,249.9512,0,
-44.195145,106.00583,0,
-44.272705,105.97189,0,
-44.354874,105.95154,0,
-44.4393,105.94534,0,
-44.52356,105.95346,0,
-44.605255,105.97571,0,
-44.682022,106.01138,0,
-44.751663,106.05954,0,
-44.812195,106.11871,0,
-44.861862,106.187256,0,
-44.89926,106.263214,0,
-44.92331,106.34439,0,
-44.933304,106.42847,0,
-44.928986,106.513,0,
-44.910477,106.59561,0,
-44.87828,106.67392,0,
-44.833344,106.74567,0,
-44.776947,106.80878,0,
105.8121,247.68341,0,
105.869446,247.7478,0,
105.914856,247.82108,0,
105.94702,247.90106,0,
105.964966,247.98541,0,
105.96814,248.07156,0,
105.95648,248.15698,0,
105.9303,248.23914,0,
105.89041,248.31558,0,
105.83798,248.384,0,
105.7746,248.44244,0,
105.70209,248.4891,0,
105.62265,248.52261,0,
105.538635,248.54196,0,
105.452545,248.5466,0,
105.36691,248.5364,0,
105.28433,248.51163,0,
105.207245,248.47302,0,
-66.667755,143.00427,0,
-66.7368,142.95328,0,
-66.79611,142.89117,0,
-66.84392,142.81989,0,
-66.87883,142.74142,0,
-66.899796,142.65817,0,
-66.90622,142.57257,0,
-66.8979,142.48712,0,
-66.87508,142.40436,0,
-66.83844,142.32672,0,
-66.78906,142.25647,0,
-66.72839,142.19574,0,
-66.65822,142.14627,0,
-66.58063,142.10953,0,
-66.497894,142.08661,0,
-66.412445,142.07816,0,
169.91568,139.14847,0,
169.99973,139.15454,0,
170.08157,139.17462,0,
170.15887,139.20819,0,
170.22946,139.25424,0,
