X,Y,Z,
157.92209,-240,0,
174.78934,-81.4698,0,
174.85974,-81.219574,0,
175.00662,-81.00511,0,
175.21454,-80.849075,0,
175.46152,-80.767944,0,
175.72147,-80.77026,0,
175.96692,-80.85582,0,
176.17203,-81.01555,0,
176.31506,-81.23262,0,
210.60077,-158.11572,0,
210.66522,-158.35312,0,
210.65451,-158.59885,0,
210.56964,-158.82971,0,
210.41867,-159.0239,0,
210.21582,-159.16302,0,
209.98029,-159.23395,0,
209.73434,-159.22995,0,
116.227844,-143.12605,0,
115.98859,-143.04431,0,
115.78677,-142.89197,0,
115.64261,-142.68425,0,
115.570465,-142.44193,0,
115.577545,-142.18918,0,
115.66315,-141.95126,0,
115.818726,-141.75194,0,
116.02875,-141.61115,0,
116.27219,-141.54291,0,
175.15637,-136.37918,0,
175.42117,-136.30072,0,
175.64352,-136.1369,0,
175.7969,-135.90723,0,
175.86307,-135.63908,0,
176.8642,-97.607666,0,
176.92178,-97.359726,0,
177.05432,-97.142426,0,
177.24841,-96.97775,0,
199.58606,-83.47125,0,
199.82465,-83.37529,0,
200.08136,-83.36,0,
200.32968,-83.42694,0,
200.54391,-83.5692,0,
200.70193,-83.77208,0,
200.78745,-84.01463,0,
200.79156,-84.271774,0,
200.71387,-84.51692,0,
200.56241,-84.72478,0,
109.65332,-174.59491,0,
109.45514,-174.73825,0,
109.2229,-174.815,0,
108.97833,-174.81801,0,
108.74426,-174.74698,0,
108.5426,-174.60854,0,
99.71146,-166.29684,0,
99.55466,-166.09222,0,
99.47104,-165.84837,0,
99.46936,-165.59059,0,
99.54971,-165.34566,0,
99.70383,-165.13899,0,
99.91565,-164.99207,0,
100.16318,-164.92014,0,
100.420746,-164.93066,0,
138.34283,-172.72287,0,
138.58835,-172.81749,0,
138.78989,-172.98666,0,
138.92566,-173.21205,0,
157.17822,-223.67107,0,
157.31223,-223.8944,0,
157.51086,-224.06285,0,
157.75311,-224.15857,0,
158.01324,-224.17142,0,
158.2637,-224.1,0,
158.47797,-223.95192,0,
158.63333,-223.74286,0,
158.71326,-223.49498,0,
158.70935,-223.23456,0,
146.24182,-154.14365,0,
146.1596,-153.90775,0,
146.00864,-153.70868,0,
145.80365,-153.5659,0,
145.5646,-153.49332,0,
126.86331,-150.89592,0,
126.6084,-150.90154,0,
126.368195,-150.98708,0,
126.167114,-151.14383,0,
126.02557,-151.35591,0,
125.95795,-151.60175,0,
125.9711,-151.85638,0,
126.06369,-152.09393,0,
126.22635,-152.2903,0,
126.442535,-152.4255,0,
189.29968,-178.919,0,
189.55371,-178.97981,0,
189.81378,-178.95554,0,
190.05215,-178.84879,0,
190.24347,-178.67093,0,
190.36725,-178.44092,0,
190.41037,-178.1833,0,
190.36823,-177.92554,0,
190.24527,-177.69507,0,
178.29721,-162.11066,0,
178.23651,-162.04034,0,
143.3219,-128.34926,0,
143.17462,-128.13785,0,
143.10217,-127.89061,0,
143.11206,-127.63315,0,
143.20328,-127.39219,0,
143.36636,-127.192726,0,
143.58438,-127.055435,0,
143.83475,-126.99457,0,
157.34125,-125.955605,0,
157.58752,-125.974915,0,
157.8162,-126.06845,0,
209.45654,-159.12634,0.16666667,
209.70544,-159.22443,0.16666667,
209.97278,-159.23495,0.16666667,
210.2286,-159.15674,0.16666667,
210.44437,-158.99857,0.16666667,
210.59589,-158.77808,0.16666667,
210.66626,-158.51997,0.16666667,
210.64761,-158.2531,0.16666667,
210.54199,-158.0073,0.16666667,
183.00952,-115.4099,0,
182.84088,-115.222244,0,
182.62216,-115.09645,0,
182.37515,-115.04504,0,
182.12442,-115.073105,0,
181.89487,-115.177864,0,
181.70938,-115.3489,0,
181.5864,-115.56919,0,
181.53812,-115.81684,0,
181.56937,-116.06721,0,
190.92004,-148.275,0,
191.02924,-148.5054,0,
191.20538,-148.68976,0,
191.4306,-148.8093,0,
191.68198,-148.85193,0,
191.93402,-148.81328,0,
192.1611,-148.6973,0,
192.34015,-148.51575,0,
192.45297,-148.28711,0,
192.48813,-148.03456,0,
188.81058,-52.484924,0,
188.83847,-52.257385,0,
188.92978,-52.047104,0,
189.07693,-51.871353,0,
189.26791,-51.744537,0,
209.00818,-42.39389,0,
209.25244,-42.322937,0,
209.50662,-42.33223,0,
209.74503,-42.420853,0,
209.94357,-42.579834,0,
210.08218,-42.793106,0,
210.14685,-43.03911,0,
210.13101,-43.29297,0,
210.03632,-43.529037,0,
209.87228,-43.723434,0,
182.85498,-64.84799,0,
182.69269,-65.03955,0,
182.59775,-65.27196,0,
182.5795,-65.52237,0,
182.63977,-65.7661,0,
182.77261,-65.979126,0,
182.96497,-66.1405,0,
183.19785,-66.234314,0,
183.44833,-66.25133,0,
183.69174,-66.189865,0,
209.1463,-55.280777,0,
209.34723,-55.15674,0,
209.5032,-54.979446,0,
209.60065,-54.764343,0,
209.63101,-54.530167,0,
206.51413,108.5867,0,
206.47131,108.83011,0,
206.35623,109.04883,0,
206.17987,109.221985,0,
205.9591,109.33304,0,
205.71494,109.37143,0,
205.47073,109.333466,0,
205.24976,109.22275,0,
205.07312,109.0499,0,
180.38141,73.28778,0,
180.19049,73.10495,0,
179.95041,72.99432,0,
179.68741,72.96799,0,
179.43015,73.02878,0,
179.20676,73.170074,0,
179.04163,73.376465,0,
178.95276,73.62543,0,
178.94986,73.88974,0,
188.32288,123.51285,0,
188.32071,123.77307,0,
188.2351,124.01883,0,
188.0752,124.22412,0,
187.85782,124.36722,0,
187.60605,124.43298,0,
187.34647,124.41446,0,
187.1066,124.3136,0,
186.91177,124.14108,0,
186.78262,123.91516,0,
173.21738,82.838104,0,
173.09604,82.62195,0,
172.91437,82.45331,0,
172.68979,82.34839,0,
172.44388,82.31723,0,
172.20026,82.362854,0,
-7.524933,147.76703,0,
-7.7517395,147.81195,0,
-7.9819336,147.79016,0,
-8.196289,147.70343,0,
-98.81671,92.81604,0,
-99.04989,92.724945,0,
-99.2998,92.71042,0,
-99.54197,92.7738,0,
-99.75269,92.908936,0,
-99.91133,93.1026,0,
-132.11913,148.16751,0,
-132.2049,148.37823,0,
-132.22789,148.60458,0,
-132.18622,148.82828,0,
-132.08328,149.03116,0,
-131.9274,149.19687,0,
-47.252075,216.72934,0,
-47.052795,216.8457,0,
-46.828613,216.90033,0,
-46.598145,216.8887,0,
84.830414,190.9147,0,
85.06897,190.82632,0,
85.26773,190.66751,0,
140.18683,127.77405,0,
140.37955,127.61868,0,
140.61053,127.52966,0,
140.85767,127.51553,0,
141.09732,127.57764,0,
141.30649,127.71002,0,
141.46518,127.900024,0,
141.55817,128.12943,0,
141.5766,128.37628,0,
141.51868,128.61697,0,
118.14206,185.24036,0,
118.01163,185.4538,0,
117.821655,185.61652,0,
117.59073,185.71265,0,
117.34137,185.73273,0,
117.09802,185.67484,0,
116.88446,185.54462,0,
116.72156,185.3548,0,
116.62521,185.12393,0,
116.60489,184.87463,0,
123.39511,116.42407,0,
123.375854,116.17926,0,
123.283264,115.95184,0,
123.12604,115.76318,0,
122.91904,115.631134,0,
122.6817,115.568085,0,
-34.201416,98.9447,0,
-34.447464,98.95679,0,
-34.678177,99.04315,0,
-104.808044,138.52365,0,
-105.00387,138.67862,0,
-105.14237,138.88644,0,
-105.21005,139.1268,0,
-110.92434,187.4385,0,
-110.91186,187.7013,0,
-110.814804,187.94583,0,
-110.64368,188.14566,0,
-110.41698,188.27917,0,
-110.15923,188.33194,0,
-109.89831,188.29822,0,
40.807404,141.05243,0,
41.04892,141.01825,0,
41.28952,141.05844,0,
41.506836,141.16925,0,
