X,Y,
9.84375,-213.75,
21.09375,-213.75,
31.40625,-211.40625,
51.5625,-210,
41.25,-209.53125,
-2.34375,-208.59375,
-25.78125,-210,
17.34375,-204.375,
-10.78125,-202.03125,
-43.59375,-202.5,
-33.28125,-202.5,
-22.03125,-200.625,
4.21875,-193.59375,
29.0625,-201.5625,
74.0625,-205.3125,
63.31508213041309,-202.01095072175212,
87.1875,-201.09375,
56.25,-194.53125,
46.40625,-192.65625,
71.25,-192.65625,
109.21875,-192.65625,
93.65853658536582,-188.3922349427576,
62.34375,-186.09375,
34.6875,-192.1875,
19.21875,-191.71875,
-5.625,-188.90625,
-45,-191.71875,
-55.3125,-189.375,
-34.6875,-187.5,
-18.28125,-183.28125,
26.71875,-183.75,
52.5,-184.21875,
81.5625,-184.21875,
117.65625,-184.21875,
70.78125,-180.46875,
90.46875,-178.59375,
103.125,-177.1875,
60.9375,-174.375,
15.46875,-180.46875,
1.875,-180,
-46.875,-181.875,
-60.46875,-176.71875,
-36.09375,-176.71875,
-7.5,-173.4375,
36.09375,-178.59375,
48.75,-173.4375,
77.8125,-170.625,
111.5625,-170.15625,
138.28125,-168.75,
97.5,-166.40625,
120.46875,-165.46875,
87.65625,-163.125,
62.8125,-164.53125,
24.84375,-167.8125,
-16.875,-169.6875,
-52.03125,-169.6875,
-70.3125,-168.75,
-30.9375,-167.8125,
14.53125,-167.8125,
34.6875,-161.25,
74.0625,-161.25,
48.28125,-161.25,
7.5,-160.3125,
-14.53125,-159.375,
-42.65625,-165,
-80.625,-160.3125,
-55.3125,-159.84375,
-65.625,-158.90625,
-23.4375,-154.6875,
17.34375,-156.5625,
-2.34375,-155.15625,
-35.15625,-154.21875,
-75.9375,-149.53125,
-93.75,-152.34375,
-61.40625,-147.65625,
-15.46875,-148.59375,
22.5,-147.65625,
41.71875,-152.8125,
84.375,-152.8125,
106.875,-160.3125,
134.53125,-155.625,
118.59375,-154.6875,
99.84375,-152.8125,
145.3125,-150.9375,
110.625,-148.125,
70.3125,-150.9375,
51.5625,-150,
7.96875,-147.65625,
32.8125,-147.1875,
60.9375,-145.78125,
92.34375,-145.78125,
130.3125,-146.25,
120.46875,-144.375,
79.6875,-141.09375,
44.0625,-142.96875,
2.34375,-139.21875,
-24.375,-143.90625,
-49.6875,-147.1875,
-85.3125,-144.375,
-95.625,-141.09375,
-68.90625,-140.625,
-106.40625,-138.75,
-76.875,-133.125,
-36.09375,-136.40625,
-9.375,-137.34375,
19.21875,-135.9375,
58.59375,-135.9375,
105,-138.28125,
154.6875,-139.21875,
137.8125,-134.53125,
126.5625,-130.78125,
89.0625,-130.3125,
70.78125,-134.53125,
42.65625,-130.78125,
-4.6875,-128.4375,
-53.4375,-135.46875,
-20.15625,-131.25,
-61.40625,-129.375,
-91.40625,-131.25,
-120,-132.65625,
-109.21875,-127.5,
-72.1875,-121.875,
-45,-129.375,
-30.46875,-127.96875,
7.03125,-127.96875,
29.53125,-127.96875,
57.1875,-125.625,
16.875,-125.625,
-22.5,-120.46875,
-9.84375,-119.0625,
-32.8125,-118.125,
-60.46875,-119.0625,
-100.78125,-121.875,
-90,-120.9375,
-116.71875,-120.46875,
