X,Y,Z,
9.84375,-213.75,0,
-109.6064,-113.42671,0,
-109.670425,-113.3637,0,
-109.724335,-113.29183,0,
-109.76691,-113.212715,0,
-109.797195,-113.128136,0,
-109.814514,-113.03998,0,
-109.81847,-112.950226,0,
-109.808975,-112.86089,0,
-91.753525,-20.732864,0,
-91.743774,-20.630692,0,
-91.75159,-20.528366,0,
-91.77672,-20.428864,0,
-118.69203,53.710114,0,
-118.715416,53.79944,0,
-118.724815,53.891327,0,
-118.72,53.98355,0,
-118.70109,54.073944,0,
-118.668526,54.16037,0,
-118.623085,54.240784,0,
-34.248077,179.86578,0,
-34.191315,179.93774,0,
-34.124237,180.00024,0,
-34.04843,180.05176,0,
-33.965668,180.09116,0,
-33.877853,180.11746,0,
80.02838,204.96121,0,
80.129456,204.9744,0,
80.23129,204.97028,0,
80.33096,204.949,0,
80.4256,204.91113,0,
80.51245,204.85782,0,
80.58905,204.79056,0,
80.65314,204.7113,0,
80.70288,204.62234,0,
80.73688,204.52628,0,
80.75409,204.42581,0,
80.75406,204.32388,0,
69.97281,78.23013,0,
69.957,78.13544,0,
69.9263,78.044464,0,
69.88147,77.959564,0,
69.82367,77.882904,0,
69.754395,77.81644,0,
69.675385,77.76187,0,
69.588684,77.72058,0,
69.49652,77.693695,0,
69.401245,77.68182,0,
-59.036255,72.05682,0,
-59.13974,72.06125,0,
-59.240936,72.083405,0,
-59.336823,72.12262,0,
-59.424515,72.177765,0,
-59.50142,72.24716,0,
-59.565247,72.328766,0,
-59.61409,72.420135,0,
-59.646484,72.518524,0,
-71.365234,122.206024,0,
-71.379684,122.300385,0,
-71.37898,122.39584,0,
-71.363144,122.49002,0,
-71.33258,122.580444,0,
-71.288055,122.66492,0,
-71.23071,122.74124,0,
-10.293213,191.64749,0,
-10.224548,191.71368,0,
-10.146271,191.76816,0,
-10.0603485,191.80954,0,
-9.968964,191.83679,0,
102.06229,215.74304,0,
102.16016,215.75562,0,
102.25873,215.75201,0,
102.35541,215.73227,0,
102.44754,215.69696,0,
102.53265,215.64703,0,
102.6084,215.58383,0,
102.67279,215.5091,0,
102.72406,215.42477,0,
102.7608,215.33322,0,
102.782074,215.23688,0,
102.78723,215.13834,0,
102.776184,215.04028,0,
78.401184,91.29028,0,
78.375854,91.19974,0,
78.33667,91.11429,0,
78.28461,91.03598,0,
78.22098,90.96677,0,
78.14731,90.908356,0,
78.0654,90.86215,0,
77.977295,90.829315,0,
77.88513,90.81067,0,
-18.208618,79.09192,0,
-18.299149,79.08777,0,
-49.7054,80.02527,0,
-49.79982,80.035614,0,
-49.891434,80.06073,0,
-49.97792,80.099976,0,
-50.057144,80.152374,0,
-50.12709,80.216644,0,
-50.186035,80.29114,0,
-50.232468,80.37399,0,
-101.17378,193.84476,0,
-101.222565,193.93109,0,
-101.28491,194.00821,0,
-101.3591,194.074,0,
-101.44313,194.12671,0,
-101.53468,194.16483,0,
-101.631256,194.18735,0,
-101.730225,194.19363,0,
-199.69897,192.31863,0,
-199.80087,192.30795,0,
-199.89948,192.28006,0,
-199.99188,192.23581,0,
-200.07542,192.17648,0,
-200.14764,192.10382,0,
-200.20645,192.0199,0,
-200.25012,191.92722,0,
-200.27739,191.82846,0,
-200.28745,191.7265,0,
-200.28001,191.6243,0,
-200.25531,191.52487,0,
-200.21405,191.43109,0,
-200.15742,191.3457,0,
-200.0871,191.27118,0,
-200.00513,191.20972,0,
-199.91388,191.16309,0,
-85.55487,145.86816,0,
-85.46901,145.82486,0,
-85.39116,145.76837,0,
-85.32333,145.7002,0,
-85.26729,145.62207,0,
-85.22443,145.53598,0,
-85.19588,145.44415,0,
-85.18236,145.34894,0,
-85.184235,145.2528,0,
-85.20143,145.15817,0,
-85.233536,145.06754,0,
-85.27971,144.98318,0,
-85.33876,144.90729,0,
-127.00498,101.18646,0,
-127.066086,101.10745,0,
-127.11322,101.01938,0,
-127.145096,100.92471,0,
-127.16083,100.82605,0,
-127.159966,100.726166,0,
-127.14255,100.62781,0,
-127.109055,100.53369,0,
-127.06041,100.44644,0,
-126.99796,100.3685,0,
-126.92345,100.30197,0,
-126.83893,100.24872,0,
-126.74674,100.210236,0,
-126.64946,100.18759,0,
-126.54976,100.1814,0,
-126.45041,100.1918,0,
-126.35417,100.21857,0,
-126.26371,100.260925,0,
-78.91995,127.448425,0,
-78.83847,127.50464,0,
-78.76735,127.57349,0,
-78.708496,127.653076,0,
-44.489746,182.96558,0,
-44.44275,183.0588,0,
-44.41263,183.15875,0,
-44.4003,183.26242,0,
-44.406113,183.36667,0,
-44.4299,183.46832,0,
-44.470963,183.5643,0,
-44.52803,183.65173,0,
-44.599396,183.72794,0,
-44.682877,183.79059,0,
-44.77597,183.83786,0,
-157.74472,229.30661,0,
-157.83444,229.33478,0,
-157.92746,229.34857,0,
-212.30247,233.09857,0,
-212.40446,233.09692,0,
-212.5047,233.078,0,
-212.6003,233.04239,0,
-212.68848,232.99109,0,
-212.76668,232.9256,0,
-212.83266,232.84781,0,
-212.88452,232.75995,0,
-212.92073,232.66458,0,
-212.94028,232.56448,0,
-212.94258,232.4625,0,
-212.92757,232.36157,0,
-212.89568,232.26468,0,
-212.84784,232.17459,0,
-212.78543,232.0939,0,
-212.71025,232.02493,0,
-212.62448,231.96973,0,
-148.87448,198.21973,0,
-148.79663,198.18533,0,
-148.71469,198.16232,0,
-148.63033,198.15112,0,
-148.54523,198.15198,0,
-148.46109,198.16486,0,
2.21109,233.5539,0,
2.3142853,233.56802,0,
2.4183655,233.56409,0,
2.5202026,233.5422,0,
2.6167297,233.50305,0,
2.705017,233.44778,0,
2.782425,233.37811,0,
2.8466034,233.29608,0,
2.89563,233.20416,0,
2.9280396,233.10516,0,
2.9428253,233.00208,0,
2.93956,232.89798,0,
2.918335,232.79599,0,
2.8798065,232.69922,0,
2.825119,232.61057,0,
-71.73137,134.42068,0,
-71.778366,134.3468,0,
-71.81412,134.26688,0,
-130.40787,-27.451859,0,
-130.43463,-27.552078,0,
-130.44376,-27.65541,0,
-130.43494,-27.758759,0,
-130.40845,-27.859055,0,
-130.36507,-27.953278,0,
-107.39632,-68.26578,0,
-107.338715,-68.3495,0,
-107.26779,-68.4223,0,
-107.18561,-68.4821,0,
-107.09451,-68.52716,0,
-106.997116,-68.5562,0,
-106.89621,-68.568375,0,
-106.79471,-68.563354,0,
-106.695496,-68.541275,0,
-106.60144,-68.50276,0,
-106.51524,-68.44893,0,
-106.43936,-68.38132,0,
-106.37598,-68.301865,0,
-106.326904,-68.21286,0,
-106.293564,-68.11685,0,
-106.27692,-68.0166,0,
-106.27742,-67.91496,0,
-110.49617,-21.039963,0,
-110.51332,-20.941727,0,
-110.546524,-20.847687,0,
-110.59485,-20.760452,0,
-110.65694,-20.682419,0,
-110.73111,-20.615738,0,
-110.81529,-20.562271,0,
-110.90718,-20.523499,0,
-111.00421,-20.500473,0,
-111.103714,-20.493835,0,
-111.20294,-20.503769,0,
-111.299164,-20.530014,0,
-111.389694,-20.571823,0,
-111.47206,-20.628052,0,
-111.543976,-20.697144,0,
-111.603455,-20.777191,0,
-111.64885,-20.865997,0,
-111.678894,-20.96109,0,
-111.692795,-21.059845,0,
-117.317795,-120.434845,0,
-117.31572,-120.528946,0,
-117.298965,-120.62157,0,
-117.26792,-120.71043,0,
-117.223366,-120.79334,0,
-117.1664,-120.86827,0,
-117.098404,-120.93336,0,
-35.067154,-187.96461,0,
-34.993164,-188.0163,0,
-34.912262,-188.0563,0,
-34.82628,-188.08372,0,
-34.737152,-188.09795,0,
-34.646896,-188.09863,0,
-34.557556,-188.08575,0,
-34.47116,-188.05965,0,
132.87259,-123.37215,0,
132.9548,-123.33295,0,
133.03015,-123.28176,0,
133.09686,-123.219765,0,
133.15344,-123.14838,0,
133.19855,-123.06925,0,
133.23117,-122.98421,0,
133.25052,-122.89521,0,
145.90677,-31.957703,0,
145.91232,-31.890076,0,
145.91019,-31.822266,0,
138.87894,47.865234,0,
138.8617,47.964417,0,
138.82812,48.059326,0,
138.77917,48.147278,0,
138.71619,48.2258,0,
138.64099,48.292694,0,
138.55563,48.34607,0,
138.46259,48.38443,0,
138.36441,48.406708,0,
138.26389,48.412262,0,
138.16388,48.40091,0,
138.06717,48.373016,0,
137.97647,48.329315,0,
137.89435,48.271088,0,
137.82312,48.19995,0,
137.7648,48.11792,0,
137.72101,48.027283,0,
137.693,47.930603,0,
137.68152,47.830597,0,
135.59973,-60.955597,0,
135.59042,-61.04425,0,
135.56808,-61.13054,0,
119.161835,-109.41179,0,
119.1322,-109.483444,0,
119.09357,-109.55069,0,
78.31232,-170.95694,0,
78.24774,-171.038,0,
78.1702,-171.10672,0,
78.08197,-171.16109,0,
77.98569,-171.19946,0,
77.88425,-171.2207,0,
77.7807,-171.22415,0,
24.87555,-167.21335,0,
24.776917,-167.21623,0,
24.680115,-167.23526,0,
24.587708,-167.26987,0,
24.502228,-167.31918,0,
-5.966522,-188.41293,0,
-6.0458527,-188.47859,0,
