X,Y,Z,
157.02275,-19.53511,0,
149.21141,-9.6050415,0,
149.11714,-9.515518,0,
149.0096,-9.442444,0,
148.89165,-9.387756,0,
148.7664,-9.35289,0,
148.63716,-9.338776,0,
148.50734,-9.345779,0,
148.38036,-9.3737335,0,
148.2596,-9.421875,0,
148.14821,-9.488937,0,
148.04918,-9.573166,0,
147.96507,-9.6723175,0,
147.89815,-9.783783,0,
147.85017,-9.904617,0,
147.8224,-10.031631,0,
123.094406,-193.51334,0,
123.087845,-193.65112,0,
123.10503,-193.788,0,
123.14549,-193.91988,0,
123.20799,-194.04285,0,
123.290726,-194.15326,0,
123.39116,-194.2478,0,
123.50636,-194.3237,0,
123.63289,-194.37866,0,
123.76698,-194.41109,0,
123.90465,-194.41998,0,
124.041794,-194.4051,0,
124.17433,-194.36688,0,
124.298355,-194.30646,0,
124.41014,-194.22563,0,
124.50636,-194.1268,0,
124.58421,-194.01291,0,
124.64131,-193.88733,0,
124.67598,-193.75381,0,
144.95296,-74.07033,0,
144.96419,-73.93231,0,
144.95143,-73.79442,0,
144.91512,-73.6608,0,
144.85628,-73.535446,0,
144.77672,-73.422104,0,
144.67882,-73.32419,0,
144.56548,-73.24461,0,
144.44011,-73.18579,0,
144.3065,-73.14946,0,
144.1686,-73.1367,0,
144.0306,-73.147934,0,
143.89656,-73.182785,0,
143.77058,-73.240234,0,
143.65636,-73.31854,0,
143.55739,-73.415375,0,
143.47658,-73.52782,0,
143.41637,-73.65253,0,
87.036545,-222.02048,0,
86.99954,-222.14954,0,
86.984665,-222.28297,0,
86.992294,-222.41702,0,
87.02225,-222.5479,0,
87.073654,-222.67192,0,
87.14508,-222.78561,0,
87.23453,-222.88574,0,
87.33945,-222.96951,0,
87.456894,-223.03456,0,
87.58357,-223.07904,0,
87.71591,-223.10172,0,
87.850174,-223.10194,0,
87.98259,-223.0797,0,
88.109406,-223.03564,0,
88.22708,-222.97098,0,
88.332275,-222.88756,0,
88.42204,-222.78772,0,
88.49385,-222.67429,0,
162.18327,-81.23016,0,
162.23405,-81.10953,0,
162.26448,-80.98224,0,
162.27373,-80.851685,0,
162.26158,-80.72136,0,
162.22835,-80.59477,0,
162.17491,-80.475296,0,
137.44691,-35.470352,0,
137.3697,-35.35486,0,
137.27367,-35.25447,0,
137.1617,-35.17221,0,
137.03722,-35.11055,0,
136.90392,-35.07138,0,
136.76585,-35.055847,0,
136.62721,-35.064423,0,
136.49211,-35.096878,0,
136.36467,-35.15219,0,
136.24873,-35.22873,0,
136.14778,-35.324173,0,
136.06487,-35.435654,0,
136.00249,-35.559784,0,
116.714645,-84.02664,0,
116.67598,-84.153534,0,
116.65883,-84.28505,0,
116.66362,-84.4176,0,
116.69026,-84.54755,0,
116.73802,-84.671295,0,
116.80556,-84.78546,0,
116.89104,-84.88689,0,
116.99208,-84.97281,0,
117.10594,-85.04085,0,
117.22948,-85.08913,0,
117.3593,-85.11635,0,
117.49184,-85.121735,0,
117.62343,-85.10515,0,
117.75047,-85.06705,0,
131.59816,-79.62689,0,
131.7162,-79.56891,0,
131.82314,-79.49237,0,
131.91609,-79.39934,0,
131.99254,-79.29234,0,
132.05046,-79.17427,0,
132.08821,-79.048294,0,
135.55013,-62.72783,0,
135.56535,-62.62091,0,
134.95885,-49.149612,0,
134.9806,-49.01451,0,
135.02504,-48.8851,0,
135.0909,-48.765167,0,
135.1762,-48.658188,0,
135.27852,-48.567337,0,
135.39479,-48.495224,0,
135.52168,-48.444,0,
135.65541,-48.41513,0,
135.79213,-48.409485,0,
135.92781,-48.42723,0,
136.05849,-48.46782,0,
136.18031,-48.53009,0,
136.28975,-48.612198,0,
136.38362,-48.711777,0,
136.45912,-48.825882,0,
136.51408,-48.951187,0,
144.92162,-73.67917,0.1,
144.93065,-73.70747,0.1,
159.22365,-127.083824,0,
159.27425,-127.21175,0,
159.34602,-127.32911,0,
159.43684,-127.432434,0,
159.54402,-127.51868,0,
159.66438,-127.58529,0,
159.79439,-127.63029,0,
159.93016,-127.65235,0,
160.06773,-127.650826,0,
160.20299,-127.625755,0,
160.33195,-127.57788,0,
160.45082,-127.50861,0,
160.55605,-127.42001,0,
160.64455,-127.3147,0,
160.7137,-127.19577,0,
160.76146,-127.06676,0,
160.78639,-126.931465,0,
160.7878,-126.79391,0,
160.76561,-126.65814,0,
149.81795,-89.959076,0,
149.79576,-89.82321,0,
149.7972,-89.68555,0,
154.3571,-59.176956,0,
154.35881,-59.04309,0,
154.33815,-58.910812,0,
154.29573,-58.783844,0,
154.23274,-58.66571,0,
154.15092,-58.55974,0,
154.0526,-58.468903,0,
153.94048,-58.39572,0,
153.81773,-58.34227,0,
153.68779,-58.310043,0,
153.5543,-58.299927,0,
153.42097,-58.312225,0,
153.29158,-58.346573,0,
153.16972,-58.402008,0,
153.05882,-58.477005,0,
152.96199,-58.569443,0,
152.88191,-58.676727,0,
152.82085,-58.795868,0,
152.7805,-58.923523,0,
136.46004,-131.12927,0,
136.4424,-131.24852,0,
136.44286,-131.36908,0,
136.46144,-131.48819,0,
143.87987,-163.14001,0,
143.92186,-163.26889,0,
143.985,-163.38882,0,
144.06752,-163.49638,0,
144.16698,-163.58847,0,
144.28056,-163.66245,0,
144.40501,-163.71616,0,
144.53673,-163.74811,0,
144.67198,-163.75735,0,
144.80684,-163.74365,0,
144.93742,-163.70737,0,
145.06001,-163.64954,0,
145.1711,-163.57187,0,
145.26747,-163.47655,0,
145.34639,-163.36633,0,
145.40553,-163.24437,0,
145.44325,-163.11417,0,
145.45845,-162.97948,0,
146.94212,-109.07245,0,
146.9345,-108.93817,0,
146.9045,-108.80705,0,
146.85295,-108.682816,0,
146.78133,-108.56897,0,
146.6916,-108.468735,0,
146.58641,-108.38495,0,
146.46861,-108.31998,0,
146.34163,-108.27565,0,
146.209,-108.25322,0,
146.07451,-108.25333,0,
145.94191,-108.275986,0,
145.81499,-108.320526,0,
145.69734,-108.3857,0,
145.59227,-108.469666,0,
145.50273,-108.57004,0,
145.43129,-108.684006,0,
88.4955,-222.67108,0.1,
88.42619,-222.7822,0.1,
88.339676,-222.88052,0.1,
88.23828,-222.96341,0.1,
88.124725,-223.02864,0.1,
88.002045,-223.07446,0.1,
87.87352,-223.09967,0.1,
34.955627,-229.03438,0,
34.833054,-229.03867,0,
34.711273,-229.02417,0,
34.59314,-228.99123,0,
34.481415,-228.94061,0,
34.378754,-228.87352,0,
34.28755,-228.79152,0,
-77.97753,-111.08627,0,
-78.043274,-111.00786,0,
-78.098465,-110.92171,0,
-78.14221,-110.82921,0,
-89.01903,-79.08177,0,
-89.0728,-78.971695,0,
-89.14275,-78.87111,0,
-89.22725,-78.782394,0,
-89.324295,-78.70763,0,
-89.431625,-78.648544,0,
-89.546715,-78.60654,0,
-89.66687,-78.58261,0,
-89.78927,-78.5773,0,
-104.62607,-79.07185,0,
-104.66077,-79.07378,0,
-143.11372,-83.63641,0,
-143.19458,-83.638535,0,
-163.47154,-83.14398,0,
-163.60255,-83.12993,0,
-163.72948,-83.09456,0,
-163.84888,-83.03885,0,
-163.95752,-82.96428,0,
-164.05244,-82.87291,0,
-164.13107,-82.76718,0,
-164.1913,-82.649994,0,
-164.23146,-82.52449,0,
-164.25047,-82.39412,0,
-165.73416,-58.655243,0,
-165.73096,-58.518234,0,
-165.70442,-58.383774,0,
-165.65532,-58.255814,0,
-165.5851,-58.138107,0,
-165.49582,-58.034134,0,
-165.3901,-57.946915,0,
-165.27104,-57.879013,0,
-165.14215,-57.832428,0,
-165.0072,-57.808548,0,
-164.87015,-57.80803,0,
-164.73502,-57.830917,0,
-164.60577,-57.87654,0,
-164.48622,-57.943558,0,
-164.37987,-58.029984,0,
-164.28981,-58.133316,0,
-164.21872,-58.25049,0,
-164.16867,-58.378067,0,
-122.18149,-205.71689,0,
-122.13081,-205.84573,0,
