X,Y,Z,
-42.12767,-233.40425,0,
-2.4430695,-224.95581,0,
-2.3825684,-224.93808,0,
-2.3247986,-224.91287,0,
44.90924,-200.65755,0,
44.981964,-200.61194,0,
45.045776,-200.55455,0,
45.098877,-200.48709,0,
45.139618,-200.41156,0,
45.16687,-200.33017,0,
45.17978,-200.2453,0,
45.17801,-200.15948,0,
45.16156,-200.07524,0,
45.13095,-199.99506,0,
45.087097,-199.92128,0,
45.03125,-199.8561,0,
44.965088,-199.80142,0,
44.890533,-199.75887,0,
44.809814,-199.72969,0,
44.72528,-199.71475,0,
44.639465,-199.71448,0,
44.55484,-199.7289,0,
44.473938,-199.75758,0,
-25.325012,-232.58284,0,
-25.40509,-232.61131,0,
-25.48883,-232.6258,0,
-25.573822,-232.6259,0,
-25.657593,-232.6116,0,
-25.737732,-232.58333,0,
-25.811935,-232.5419,0,
-25.878036,-232.4885,0,
-25.934158,-232.42465,0,
-25.978638,-232.35225,0,
-26.010223,-232.27335,0,
-26.027985,-232.19025,0,
-26.031418,-232.10533,0,
-26.020416,-232.02106,0,
-25.995316,-231.93987,0,
-25.956818,-231.8641,0,
-25.906036,-231.79594,0,
-25.844467,-231.73738,0,
-25.77385,-231.6901,0,
99.39087,-163.62906,0,
99.454956,-163.58691,0,
99.51184,-163.53545,0,
99.56018,-163.47589,0,
99.59885,-163.40964,0,
99.62692,-163.33826,0,
99.64374,-163.26341,0,
99.648895,-163.18689,0,
96.94684,21.484741,0,
96.95288,21.56717,0,
96.97244,21.64743,0,
97.004944,21.723389,0,
97.04953,21.792969,0,
97.10495,21.854248,0,
97.16971,21.905579,0,
97.242035,21.945526,0,
97.31998,21.972992,0,
97.40134,21.987305,0,
97.48398,21.987976,0,
97.56558,21.975037,0,
97.64395,21.948853,0,
97.71692,21.910126,0,
97.78253,21.859894,0,
97.83896,21.79953,0,
97.884705,21.730713,0,
97.91846,21.655304,0,
97.93936,21.575348,0,
115.67767,-85.83069,0,
115.69986,-85.91434,0,
115.736176,-85.992905,0,
115.78549,-86.06404,0,
115.84631,-86.125595,0,
115.91687,-86.17575,0,
115.994995,-86.21298,0,
116.07837,-86.236176,0,
116.16452,-86.244644,0,
116.250824,-86.238144,0,
116.33472,-86.21684,0,
116.413666,-86.1814,0,
116.48532,-86.13287,0,
116.54755,-86.07271,0,
116.59848,-86.00273,0,
116.636566,-85.925,0,
141.31741,-22.095215,0,
141.33954,-22.021591,0,
141.35013,-21.94545,0,
141.3489,-21.868576,0,
141.33594,-21.7928,0,
126.44232,37.35614,0,
126.414825,37.436066,0,
126.37424,37.510223,0,
126.32175,37.576508,0,
126.25885,37.632965,0,
126.18735,37.67804,0,
126.10925,37.71045,0,
126.026855,37.729218,0,
125.942444,37.733826,0,
125.85846,37.72415,0,
125.77731,37.70047,0,
125.701324,37.663452,0,
125.63263,37.614166,0,
125.57324,37.554016,0,
125.52481,37.48471,0,
125.48877,37.408264,0,
125.466125,37.326813,0,
125.45752,37.242737,0,
123.47864,-134.264,0,
123.47031,-134.34668,0,
123.448364,-134.42685,0,
123.41348,-134.50226,0,
123.36658,-134.57086,0,
123.30896,-134.63074,0,
123.24222,-134.68027,0,
123.16818,-134.71803,0,
123.08893,-134.74301,0,
123.00662,-134.75455,0,
122.92355,-134.75226,0,
122.84201,-134.73627,0,
122.76425,-134.70697,0,
122.69238,-134.66522,0,
122.62845,-134.61212,0,
122.57419,-134.5492,0,
122.5311,-134.47812,0,
122.5004,-134.40091,0,
122.48288,-134.31967,0,
103.75946,9.935638,0,
103.75571,10.019836,0,
103.76614,10.103455,0,
103.79047,10.184174,0,
103.828,10.259613,0,
103.877686,10.327698,0,
103.93808,10.386475,0,
104.00751,10.434265,0,
104.083954,10.469727,0,
104.16528,10.491821,0,
104.249176,10.4999695,0,
104.33322,10.4938965,0,
104.41507,10.473785,0,
140.69128,-2.814209,0,
140.77197,-2.834137,0,
140.85486,-2.8404083,0,
140.93762,-2.8328705,0,
141.01797,-2.811737,0,
141.09375,-2.7775726,0,
141.16281,-2.7313385,0,
141.22327,-2.6743011,0,
141.2734,-2.6080322,0,
141.31192,-2.534378,0,
141.33768,-2.455368,0,
141.34998,-2.3731842,0,
141.34851,-2.2900848,0,
141.33331,-2.208374,0,
131.54608,33.536285,0,
131.5177,33.614014,0,
131.4769,33.685974,0,
131.4248,33.750214,0,
131.36282,33.805023,0,
131.29263,33.848816,0,
131.21622,33.880463,0,
131.13559,33.89908,0,
131.05304,33.904144,0,
130.97076,33.895508,0,
130.89102,33.873444,0,
130.81604,33.83853,0,
130.74783,33.791748,0,
130.68826,33.734314,0,
130.63898,33.667877,0,
79.1496,-49.310837,0,
79.11127,-49.386185,0,
79.08618,-49.46692,0,
79.07504,-49.55072,0,
79.078156,-49.635193,0,
79.09549,-49.71794,0,
79.126495,-49.796585,0,
79.17032,-49.86888,0,
79.22571,-49.932755,0,
79.291046,-49.98639,0,
79.3645,-50.028244,0,
79.44397,-50.05713,0,
79.52713,-50.07222,0,
79.611664,-50.073074,0,
108.122314,-47.94542,0,
108.20697,-47.931732,0,
108.288055,-47.903763,0,
108.36316,-47.86235,0,
108.430084,-47.808716,0,
108.48688,-47.74443,0,
108.53183,-47.671387,0,
108.56363,-47.591736,0,
108.58136,-47.507812,0,
108.5845,-47.422104,0,
108.57294,-47.337128,0,
108.547,-47.25537,0,
80.8147,17.042603,0,
80.788574,17.125214,0,
80.77713,17.21109,0,
80.78064,17.297638,0,
80.79907,17.382294,0,
80.83185,17.462524,0,
80.87796,17.535858,0,
80.936035,17.600128,0,
81.004364,17.653442,0,
105.80414,32.559326,0,
105.87201,32.612213,0,
105.92981,32.675964,0,
105.97583,32.748657,0,
106.0087,32.828186,0,
106.027466,32.91217,0,
106.031525,32.998108,0,
106.02081,33.083496,0,
100.91443,56.91327,0,
100.88977,56.99417,0,
100.85187,57.069763,0,
100.80173,57.137848,0,
100.740845,57.196564,0,
100.67093,57.24414,0,
100.594025,57.279266,0,
100.51227,57.300934,0,
100.42804,57.308502,0,
100.34375,57.30179,0,
100.26178,57.280945,0,
100.18451,57.246582,0,
100.114136,57.199707,0,
100.05267,57.141632,0,
100.00186,57.074036,0,
99.963165,56.99884,0,
99.93771,56.918182,0,
99.92621,56.83441,0,
99.928986,56.74991,0,
123.47528,-134.19672,0.1,
123.47824,-134.27707,0.1,
123.46829,-134.35687,0.1,
123.44568,-134.43405,0.1,
123.41098,-134.50659,0.1,
123.36511,-134.57263,0.1,
60.81192,-210.74286,0,
60.75406,-210.80244,0,
60.687134,-210.85162,0,
60.612976,-210.88907,0,
60.53366,-210.9137,0,
60.451355,-210.92487,0,
35.71884,-211.20279,0,
35.666916,-211.2082,0,
35.615845,-211.21901,0,
16.724579,-217.29163,0,
16.640442,-217.30652,0,
16.554993,-217.30685,0,
16.470734,-217.29263,0,
16.390137,-217.26428,0,
16.315536,-217.22263,0,
16.24913,-217.16887,0,
16.192825,-217.10458,0,
16.1483,-217.03168,0,
16.116837,-216.95222,0,
16.099365,-216.86859,0,
16.096375,-216.7832,0,
16.107986,-216.69855,0,
16.13382,-216.61711,0,
16.173157,-216.54126,0,
16.224823,-216.4732,0,
16.287338,-216.41495,0,
16.35884,-216.3682,0,
89.12479,-177.21925,0,
89.201416,-177.18596,0,
89.2825,-177.1659,0,
89.365814,-177.15959,0,
89.448975,-177.16725,0,
89.529724,-177.18866,0,
89.605804,-177.2232,0,
89.67505,-177.26993,0,
89.735535,-177.32755,0,
89.78558,-177.39441,0,
89.82382,-177.46869,0,
89.84915,-177.5483,0,
89.86087,-177.63101,0,
89.85867,-177.71451,0,
89.84259,-177.79648,0,
89.81308,-177.87463,0,
89.770966,-177.94678,0,
72.749695,-202.2021,0,
72.69653,-202.26587,0,
72.633545,-202.31995,0,
72.5625,-202.36287,0,
72.48529,-202.39345,0,
72.40411,-202.41083,0,
72.3212,-202.41452,0,
