X,Y,Z,
0.5970154,-241.34328,0,
39.884293,-103.56827,0,
39.900208,-103.48549,0,
39.901993,-103.401215,0,
39.889587,-103.317825,0,
39.863342,-103.23772,0,
39.824036,-103.16316,0,
39.772736,-103.09625,0,
39.710938,-103.038925,0,
39.640396,-102.99278,0,
39.563095,-102.95917,0,
39.481247,-102.938995,0,
39.39717,-102.93288,0,
39.313263,-102.94095,0,
39.231903,-102.96301,0,
39.15541,-102.99844,0,
39.085953,-103.0462,0,
-95.24241,-213.19547,0,
-95.302734,-213.25407,0,
-95.35239,-213.32199,0,
-95.38995,-213.39725,0,
-95.41436,-213.47775,0,
-95.42493,-213.5612,0,
-95.421364,-213.64525,0,
-95.403755,-213.72751,0,
-95.372604,-213.80565,0,
-95.3288,-213.87747,0,
-95.27357,-213.94092,0,
-95.20848,-213.99422,0,
-95.13539,-214.03584,0,
-95.05635,-214.06464,0,
-94.973595,-214.07976,0,
-94.88948,-214.0808,0,
-94.80638,-214.06772,0,
129.37271,-159.14235,0,
129.45352,-159.11507,0,
129.5285,-159.07446,0,
129.59549,-159.02168,0,
129.65256,-158.9583,0,
129.698,-158.88614,0,
129.73053,-158.80731,0,
129.74918,-158.72409,0,
129.75342,-158.63892,0,
129.74313,-158.55426,0,
103.391205,-37.56514,0,
103.3811,-37.485153,0,
103.384,-37.404587,0,
103.39978,-37.32553,0,
103.42807,-37.25003,0,
103.46814,-37.18007,0,
136.60248,11.178131,0,
136.65439,11.241943,0,
136.71606,11.296387,0,
136.78586,11.339966,0,
136.86185,11.371521,0,
136.94196,11.390167,0,
137.02408,11.395447,0,
137.10593,11.3871765,0,
137.1853,11.365601,0,
137.26007,11.331299,0,
137.32822,11.285187,0,
137.38788,11.228546,0,
137.43744,11.162872,0,
137.47556,11.089966,0,
137.50122,11.01181,0,
137.5137,10.930481,0,
137.5127,10.848236,0,
119.90076,-174.5249,0,
119.887695,-174.60034,0,
119.86328,-174.67291,0,
119.828064,-174.7409,0,
119.78287,-174.80272,0,
119.72876,-174.8569,0,
119.66702,-174.9022,0,
119.59912,-174.93755,0,
119.52658,-174.9621,0,
31.518204,-196.3812,0,
31.43837,-196.40894,0,
31.364334,-196.44972,0,
31.298233,-196.5024,0,
31.241959,-196.56546,0,
31.197098,-196.63708,0,
31.164963,-196.71527,0,
31.146439,-196.79773,0,
31.142075,-196.88214,0,
31.151978,-196.96608,0,
31.175888,-197.04715,0,
31.21312,-197.12303,0,
31.262589,-197.19156,0,
31.322906,-197.25078,0,
31.392319,-197.29898,0,
31.468872,-197.33481,0,
31.55037,-197.35724,0,
31.634476,-197.36562,0,
113.14166,-197.55975,0,
113.22815,-197.56857,0,
113.3118,-197.59225,0,
113.390076,-197.63007,0,
113.46063,-197.68085,0,
113.52133,-197.7431,0,
113.57031,-197.81491,0,
113.60614,-197.89413,0,
113.627686,-197.97836,0,
113.63431,-198.06505,0,
113.625824,-198.15157,0,
113.60248,-198.23532,0,
113.56497,-198.31375,0,
113.514465,-198.3845,0,
113.45245,-198.44543,0,
113.38083,-198.49472,0,
50.694275,-234.0171,0,
50.61856,-234.05202,0,
50.5381,-234.07387,0,
50.455124,-234.08203,0,
50.37195,-234.07631,0,
50.29088,-234.05684,0,
50.214172,-234.02417,0,
50.14395,-233.9792,0,
50.082184,-233.92319,0,
50.030594,-233.8577,0,
49.990585,-233.78455,0,
49.963303,-233.70576,0,
49.949493,-233.62354,0,
49.949524,-233.54016,0,
49.963425,-233.45796,0,
49.990784,-233.3792,0,
50.030853,-233.30608,0,
50.082504,-233.24065,0,
50.144333,-233.1847,0,
127.76614,-175.17352,0,
127.83023,-175.11511,0,
127.88327,-175.04654,0,
127.923645,-174.96982,0,
127.950195,-174.88727,0,
127.96207,-174.80139,0,
127.95892,-174.71475,0,
127.94086,-174.62994,0,
127.90842,-174.54953,0,
127.86255,-174.47595,0,
127.80469,-174.41138,0,
127.73654,-174.35779,0,
127.66016,-174.31677,0,
127.57785,-174.28955,0,
127.492065,-174.27698,0,
127.405396,-174.27942,0,
127.320435,-174.29678,0,
81.33629,-188.9868,0,
81.27353,-189.0011,0,
81.20946,-189.00723,0,
81.14513,-189.00507,0,
-128.40712,-168.40805,0,
-128.48822,-168.39325,0,
-128.5658,-168.36531,0,
-128.63774,-168.32501,0,
-128.70207,-168.27344,0,
-128.75705,-168.21198,0,
-128.80118,-168.14233,0,
-128.83327,-168.06638,0,
-128.85243,-167.98619,0,
-128.85815,-167.90393,0,
-125.470184,15.366608,0,
-125.476105,15.450134,0,
-125.49588,15.531494,0,
-125.528946,15.608398,0,
-125.57439,15.678711,0,
-125.63091,15.740448,0,
-125.69696,15.791901,0,
-125.77066,15.831604,0,
-125.84995,15.858459,0,
-125.93262,15.871735,0,
-126.01633,15.871002,0,
-126.09875,15.856323,0,
-126.17757,15.8280945,0,
-126.250565,15.787109,0,
-126.315704,15.734497,0,
-126.371155,15.671783,0,
-126.41536,15.6006775,0,
-147.01237,-24.697815,0,
-147.04431,-24.775955,0,
-147.06265,-24.858337,0,
-147.06686,-24.942642,0,
-147.05684,-25.026459,0,
-110.63892,-201.44437,0,
-110.61812,-201.51695,0,
-110.586624,-201.58557,0,
-110.54514,-201.64868,0,
-110.494644,-201.7048,0,
-110.436264,-201.7527,0,
-110.37134,-201.79126,0,
-39.923576,-236.71663,0,
-39.848648,-236.7465,0,
-39.769882,-236.76396,0,
-39.689346,-236.76851,0,
-39.609123,-236.76006,0,
-39.531303,-236.7388,0,
-39.45791,-236.70532,0,
-39.39086,-236.66046,0,
-39.331894,-236.60541,0,
-39.282555,-236.5416,0,
-39.24411,-236.47067,0,
29.711105,-80.35127,0,
29.738708,-80.270905,0,
29.752304,-80.18701,0,
29.751495,-80.102036,0,
29.736313,-80.01843,0,
29.7072,-79.9386,0,
29.664978,-79.86485,0,
29.61087,-79.79932,0,
29.546463,-79.7439,0,
29.473587,-79.70018,0,
29.394363,-79.66943,0,
29.31108,-79.65256,0,
29.226135,-79.65001,0,
29.141998,-79.661896,0,
29.06108,-79.68787,0,
28.985733,-79.72714,0,
28.918121,-79.778625,0,
28.860214,-79.84082,0,
-31.736809,-157.15424,0,
-31.783203,-157.22507,0,
-31.816986,-157.30267,0,
-31.837189,-157.38489,0,
-31.843231,-157.46933,0,
-31.834946,-157.55359,0,
-31.812569,-157.63522,0,
-31.776733,-157.71191,0,
-31.72847,-157.78148,0,
-31.669167,-157.84189,0,
-31.600525,-157.89143,0,
-31.524506,-157.92868,0,
-31.44329,-157.95258,0,
54.825363,-175.56451,0,
54.8945,-175.57367,0,
54.964233,-175.57312,0,
55.03322,-175.56287,0,
129.36157,-159.14496,0.1,
129.44302,-159.1195,0.1,
129.51898,-159.08057,0.1,
129.58719,-159.02928,0.1,
129.64569,-158.96715,0.1,
129.69278,-158.89597,0.1,
129.72708,-158.81783,0.1,
129.74756,-158.73499,0.1,
129.7537,-158.64987,0.1,
129.74524,-158.56494,0.1,
129.72247,-158.4827,0.1,
129.68607,-158.40552,0.1,
129.63705,-158.33566,0.1,
129.57687,-158.27515,0.1,
129.50726,-158.22577,0.1,
129.4303,-158.18893,0.1,
129.34818,-158.16571,0.1,
129.26328,-158.1568,0.1,
