X,Y,Z,
-21.972656,-110.83984,0,
-0.49726868,98.68497,0,
-0.4809265,98.76961,0,
-0.4502716,98.85019,0,
-0.40625,98.9243,0,
-0.35014343,98.989746,0,
-0.2836151,99.044586,0,
-0.2086792,99.08719,0,
-0.12753296,99.11627,0,
-0.04258728,99.131,0,
0.043624878,99.130905,0,
0.12852478,99.11601,0,
0.20960999,99.08675,0,
0.2844696,99.04401,0,
0.35087585,98.98903,0,
0.4068451,98.92346,0,
0.45072937,98.84926,0,
0.48120117,98.768616,0,
0.4973755,98.683945,0,
21.98175,-110.30043,0,
21.983215,-110.385445,0,
21.970276,-110.46948,0,
21.943268,-110.55011,0,
21.902985,-110.62499,0,
21.850616,-110.69197,0,
21.787628,-110.7491,0,
21.715881,-110.79474,0,
21.637451,-110.82756,0,
21.554596,-110.8466,0,
21.469696,-110.85135,0,
21.385223,-110.84163,0,
21.30362,-110.81774,0,
21.227234,-110.78037,0,
21.158295,-110.730606,0,
21.098785,-110.66987,0,
21.050415,-110.59993,0,
-64.99574,41.752274,0,
-65.040115,41.81732,0,
-65.09415,41.874603,0,
-65.156494,41.922684,0,
-65.22563,41.960373,0,
-65.29982,41.98674,0,
-65.37724,42.001144,0,
-65.45595,42.00322,0,
-65.53401,41.992905,0,
-65.60948,41.97046,0,
-65.6805,41.936447,0,
-206.3055,-39.60652,0,
-206.37202,-39.65268,0,
-206.43024,-39.70897,0,
-206.47859,-39.77391,0,
-206.51584,-39.84581,0,
-206.54099,-39.922783,0,
-206.55338,-40.0028,0,
-206.55269,-40.08377,0,
-206.53894,-40.163567,0,
-206.5125,-40.240097,0,
-206.47404,-40.311356,0,
-206.42459,-40.375473,0,
-206.36545,-40.43077,0,
-206.29814,-40.475792,0,
-91.55205,-104.440636,0,
-91.47679,-104.47476,0,
-91.39696,-104.49603,0,
-91.3147,-104.50387,0,
-91.23227,-104.49805,0,
-91.15193,-104.47873,0,
-91.07587,-104.44644,0,
-91.006165,-104.40207,0,
-90.94472,-104.346825,0,
-90.8932,-104.28221,0,
-90.85304,-104.21001,0,
-90.82532,-104.132164,0,
-90.81081,-104.05082,0,
-90.809875,-103.9682,0,
-90.822556,-103.88655,0,
-90.848526,-103.808105,0,
-90.887054,-103.73501,0,
-90.9371,-103.66925,0,
-198.1254,13.8255005,0,
-198.1749,13.890396,0,
-198.21317,13.962494,0,
-198.23921,14.039841,0,
-198.25232,14.120392,0,
-198.25215,14.202011,0,
-198.23871,14.2825165,0,
-198.21234,14.359756,0,
-198.17375,14.431686,0,
-198.124,14.496368,0,
-198.06436,14.552109,0,
-197.99646,14.597382,0,
-197.92209,14.631027,0,
-197.84323,14.652115,0,
-197.76201,14.660095,0,
-197.68057,14.654755,0,
85.375885,-28.326622,0,
85.44647,-28.332024,0,
85.51709,-28.3274,0,
85.586365,-28.31285,0,
85.65289,-28.288666,0,
85.71533,-28.255325,0,
200.90576,45.34517,0,
200.97855,45.38298,0,
201.05652,45.408386,0,
201.13763,45.4207,0,
201.21964,45.419586,0,
201.30035,45.40509,0,
201.37762,45.37758,0,
201.44937,45.3378,0,
201.51364,45.286835,0,
201.5687,45.226044,0,
201.6131,45.157074,0,
201.64563,45.08177,0,
201.66537,45.002167,0,
201.67188,44.92041,0,
201.66492,44.838684,0,
201.64468,44.759186,0,
201.61172,44.684082,0,
126.90469,-93.49951,0,
126.860504,-93.56741,0,
126.80597,-93.62729,0,
126.74246,-93.67757,0,
126.67166,-93.716934,0,
126.59546,-93.744354,0,
126.51581,-93.75911,0,
126.434814,-93.76082,0,
126.354614,-93.74942,0,
126.27731,-93.72522,0,
126.204956,-93.68886,0,
126.13937,-93.6413,0,
126.08237,-93.583755,0,
126.03537,-93.51778,0,
48.886932,35.876755,0,
48.850555,35.951187,0,
48.826965,36.03061,0,
48.816803,36.11284,0,
48.820374,36.195618,0,
48.837555,36.276672,0,
48.86789,36.353775,0,
48.910522,36.424805,0,
48.964325,36.487823,0,
49.02777,36.541092,0,
49.09915,36.583145,0,
49.176514,36.61284,0,
49.25769,36.62935,0,
49.340485,36.632233,0,
49.422638,36.6214,0,
49.50186,36.597153,0,
211.7286,-29.272926,0,
211.80795,-29.297203,0,
211.8902,-29.308022,0,
211.97311,-29.305092,0,
212.05441,-29.288498,0,
212.13184,-29.258682,0,
212.20325,-29.216476,0,
212.26672,-29.163048,0,
212.32047,-29.099854,0,
212.36304,-29.02864,0,
212.39325,-28.95137,0,
212.41025,-28.870163,0,
212.4136,-28.78727,0,
212.4032,-28.704956,0,
212.37933,-28.625504,0,
212.34265,-28.551086,0,
212.29416,-28.483765,0,
212.23523,-28.425377,0,
212.16745,-28.377548,0,
75.93698,51.700577,0,
75.85837,51.73799,0,
75.774506,51.7612,0,
75.68787,51.769516,0,
75.601105,51.76268,0,
75.516815,51.740906,0,
75.43762,51.704834,0,
75.365845,51.655594,0,
75.30371,51.594635,0,
75.25311,51.523834,0,
75.215515,51.445343,0,
75.19214,51.361496,0,
75.183624,51.274887,0,
75.19028,51.188095,0,
75.21185,51.10379,0,
125.9931,-93.42746,0.1,
126.02664,-93.50253,0.1,
126.07205,-93.57109,0.1,
126.12805,-93.63127,0.1,
126.19318,-93.68147,0.1,
126.265625,-93.72032,0.1,
126.343475,-93.746765,0.1,
126.42462,-93.7601,0.1,
126.506836,-93.75995,0.1,
126.58792,-93.74634,0.1,
126.66568,-93.71961,0.1,
126.73801,-93.68051,0.1,
126.80295,-93.63008,0.1,
126.858734,-93.56969,0.1,
126.9039,-93.50098,0.1,
126.937164,-93.42578,0.1,
126.95767,-93.34616,0.1,
155.75717,80.65085,0,
155.77805,80.731476,0,
155.81198,80.80751,0,
155.85806,80.87688,0,
155.91504,80.93761,0,
155.9813,80.98807,0,
156.055,81.02681,0,
156.13412,81.052795,0,
156.21643,81.06528,0,
156.29971,81.063934,0,
156.38159,81.04878,0,
156.45984,81.02025,0,
156.53223,80.979126,0,
156.59683,80.92656,0,
156.6518,80.864,0,
156.69562,80.7932,0,
212.35968,-28.58181,0.1,
212.39178,-28.661018,0.1,
212.40994,-28.74453,0.1,
212.4136,-28.829918,0.1,
212.40268,-28.914688,0.1,
212.37747,-28.996353,0.1,
212.33871,-29.072533,0.1,
212.28757,-29.140999,0.1,
212.2255,-29.199753,0.1,
135.56534,-90.23491,0,
135.49326,-90.282745,0,
135.414,-90.31743,0,
135.32993,-90.33794,0,
135.24362,-90.34364,0,
135.1576,-90.33438,0,
135.07446,-90.31044,0,
134.9967,-90.272514,0,
134.92664,-90.221756,0,
134.86636,-90.15968,0,
134.81772,-90.08814,0,
134.7821,-90.00929,0,
134.76062,-89.925476,0,
134.75394,-89.83922,0,
134.7622,-89.7531,0,
134.78519,-89.66969,0,
134.8222,-89.5915,0,
208.43951,34.41571,0,
208.47504,34.48996,0,
208.49792,34.569016,0,
208.5075,34.650757,0,
208.50357,34.732956,0,
208.4862,34.8134,0,
208.45587,34.889908,0,
208.41339,34.960403,0,
208.35992,35.022964,0,
208.2969,35.075912,0,
208.22607,35.117813,0,
208.14932,35.147522,0,
208.06876,35.164246,0,
207.98651,35.16751,0,
207.90485,35.157257,0,
-81.92828,-26.856468,0,
-82.00098,-26.866272,0,
-82.074326,-26.865326,0,
-82.14674,-26.853668,0,
-82.21669,-26.831528,0,
-82.28262,-26.7994,0,
-82.343155,-26.757973,0,
-188.16466,58.984528,0,
-188.2336,59.030746,0,
-188.30923,59.064926,0,
-188.3895,59.086105,0,
-188.47214,59.093735,0,
-188.55492,59.08757,0,
-188.63553,59.06781,0,
-188.71176,59.034973,0,
-188.78151,58.98999,0,
-188.84286,58.934082,0,
-188.89412,58.86879,0,
-188.93387,58.79593,0,
-188.961,58.7175,0,
-211.91022,-31.126259,0,
-211.92407,-31.208626,0,
-211.92401,-31.292145,0,
-211.91003,-31.374496,0,
-211.88255,-31.45337,0,
-211.84233,-31.526566,0,
-211.79048,-31.592049,0,
-211.72845,-31.64798,0,
-211.65799,-31.69281,0,
-211.58102,-31.725288,0,
-211.49976,-31.7445,0,
-211.4164,-31.749908,0,
-29.30626,-27.332123,0,
-29.276123,-27.332458,0,
135.23315,-35.16754,0,
135.31674,-35.16401,0,
135.39856,-35.14659,0,
135.47632,-35.115776,0,
135.54788,-35.072426,0,
135.61118,-35.017754,0,
135.66449,-34.953293,0,
135.70633,-34.880844,0,
135.73547,-34.802437,0,
135.75116,-34.72027,0,
135.75293,-34.636627,0,
135.74072,-34.55387,0,
135.71487,-34.474304,0,
135.67615,-34.40016,0,
135.62558,-34.33352,0,
