X,Y,Z,
-85.9375,-148.19336,0,
-83.48459,-80.825035,0,
-83.48917,-80.74154,0,
-83.50758,-80.65997,0,
-83.53935,-80.58263,0,
-83.58356,-80.51164,0,
-83.63898,-80.44903,0,
-83.704056,-80.39652,0,
-83.77698,-80.35559,0,
-83.85568,-80.32739,0,
-83.938,-80.3127,0,
-84.02162,-80.311935,0,
-84.1042,-80.32512,0,
-84.183426,-80.351875,0,
-161.42206,-114.960625,0,
-161.50443,-114.988144,0,
-161.5903,-115.00101,0,
-161.67712,-114.9988,0,
-161.76225,-114.98161,0,
-161.84311,-114.94995,0,
-161.9173,-114.90478,0,
-161.98253,-114.84745,0,
-162.03687,-114.77969,0,
-162.07864,-114.70357,0,
-162.10663,-114.62135,0,
-162.11996,-114.53554,0,
-162.11826,-114.44871,0,
-162.10153,-114.36348,0,
-162.07033,-114.28244,0,
-141.07423,-71.31369,0,
-141.03436,-71.24612,0,
-140.9844,-71.18561,0,
-140.9256,-71.13366,0,
-140.8594,-71.09155,0,
-140.78741,-71.06032,0,
-140.71144,-71.04073,0,
-140.63333,-71.03327,0,
-140.55502,-71.038124,0,
-140.47842,-71.05517,0,
-37.255936,-103.74952,0,
-37.172348,-103.7675,0,
-37.0869,-103.77098,0,
-37.002106,-103.75984,0,
-36.92047,-103.73442,0,
-36.844345,-103.695465,0,
-36.77597,-103.644104,0,
-36.717346,-103.58183,0,
-36.670197,-103.5105,0,
-36.635895,-103.43217,0,
-36.615448,-103.34914,0,
-36.609436,-103.26383,0,
-36.618042,-103.17876,0,
-36.641037,-103.09639,0,
-36.67772,-103.01914,0,
-36.727036,-102.94928,0,
-36.787537,-102.88884,0,
-36.857437,-102.8396,0,
-72.51756,-83.195564,0,
-72.587906,-83.14595,0,
-72.64868,-83.085014,0,
-72.69812,-83.01456,0,
-72.73474,-82.93666,0,
-72.75746,-82.85364,0,
-72.76561,-82.76795,0,
-72.75893,-82.68214,0,
-72.73764,-82.59874,0,
-72.70236,-82.52023,0,
-72.654144,-82.44894,0,
-72.594406,-82.38697,0,
-72.52492,-82.33616,0,
182.38821,71.1057,0,
182.45801,71.156784,0,
182.51794,71.21913,0,
182.56625,71.29088,0,
182.60147,71.36989,0,
182.62256,71.453766,0,
182.62885,71.54004,0,
182.62021,71.6261,0,
182.59683,71.70938,0,
182.55948,71.7874,0,
182.50922,71.8578,0,
182.4476,71.91849,0,
182.3764,71.96765,0,
182.29785,72.0038,0,
182.2142,72.02588,0,
182.12802,72.0332,0,
182.04187,72.02557,0,
181.95831,72.003204,0,
45.09247,21.258514,0,
45.01544,21.23735,0,
44.936035,21.228714,0,
44.856262,21.232834,0,
44.778168,21.249619,0,
44.703735,21.27861,0,
44.634888,21.319092,0,
44.573334,21.370026,0,
-60.198334,124.62607,0,
-60.26526,124.680725,0,
-60.340576,124.72302,0,
-60.42206,124.75174,0,
-60.50728,124.76602,0,
-60.593674,124.76538,0,
-60.678665,124.74991,0,
-60.759735,124.72,0,
-60.834442,124.676605,0,
-60.90056,124.621,0,
-60.956116,124.55484,0,
-60.999466,124.4801,0,
-61.029297,124.39902,0,
-61.04471,124.313995,0,
-69.83377,30.07573,0,
-69.8344,29.99002,0,
-69.82036,29.905457,0,
-69.79208,29.82454,0,
-69.75041,29.749634,0,
-69.69656,29.682953,0,
-69.63211,29.62645,0,
-69.55896,29.581787,0,
-69.47925,29.550278,0,
-69.395325,29.532837,0,
-69.30966,29.529984,0,
-69.22476,29.54181,0,
-69.14314,29.567963,0,
-69.06717,29.607666,0,
-68.999115,29.659775,0,
40.678802,130.98477,0,
40.737305,131.03061,0,
40.80197,131.06729,0,
40.871338,131.09396,0,
40.94391,131.11008,0,
41.018066,131.11523,0,
41.092163,131.10934,0,
185.95862,107.66019,0,
186.04053,107.65433,0,
186.12228,107.66196,0,
186.20172,107.68286,0,
186.27661,107.71646,0,
186.34503,107.7619,0,
186.40509,107.8179,0,
186.45514,107.882996,0,
186.4939,107.95538,0,
186.52026,108.03317,0,
186.53354,108.1142,0,
186.53339,108.19632,0,
186.5198,108.27728,0,
186.49313,108.35495,0,
186.4541,108.427216,0,
186.40378,108.492096,0,
186.3435,108.54788,0,
186.27493,108.59305,0,
144.28275,131.54227,0,
144.21619,131.57257,0,
144.14587,131.5928,0,
144.0734,131.6026,0,
63.99527,136.48541,0,
63.91266,136.48361,0,
63.83145,136.4682,0,
63.753906,136.43967,0,
63.68213,136.39874,0,
63.618073,136.34653,0,
63.563477,136.28448,0,
63.519836,136.21432,0,
63.488373,136.13791,0,
63.46991,136.05734,0,
63.464966,135.97485,0,
63.473694,135.8927,0,
63.49582,135.81308,0,
63.53076,135.73819,0,
63.577576,135.67007,0,
63.63495,135.6106,0,
63.701324,135.5614,0,
63.774933,135.5238,0,
63.8537,135.49884,0,
186.1463,108.641785,0.1,
186.20648,108.62402,0.1,
227.36774,92.54784,0,
227.44937,92.52568,0,
227.53357,92.51761,0,
227.61792,92.523834,0,
227.70001,92.54419,0,
227.77753,92.578094,0,
227.84818,92.62459,0,
227.91,92.68231,0,
227.96121,92.74963,0,
228.00034,92.82463,0,
228.02625,92.905136,0,
228.03824,92.98888,0,
228.03592,93.073425,0,
228.01941,93.15637,0,
227.98914,93.23537,0,
227.94598,93.308105,0,
227.8912,93.37254,0,
227.82632,93.42682,0,
227.75323,93.46939,0,
152.55792,129.11392,0,
152.49966,129.13718,0,
152.43893,129.15295,0,
152.37674,129.16101,0,
93.29471,133.06726,0,
93.211365,133.06583,0,
93.129456,133.05054,0,
93.05118,133.02188,0,
92.97879,132.98062,0,
92.914246,132.92789,0,
92.859344,132.86517,0,
92.81564,132.79422,0,
92.78433,132.71698,0,
92.766266,132.63562,0,
92.76196,132.5524,0,
92.771576,132.4696,0,
92.79477,132.38956,0,
92.83096,132.31448,0,
92.87912,132.24646,0,
92.9379,132.18738,0,
93.00568,132.13889,0,
93.08057,132.10233,0,
231.62646,79.323456,0,
231.68176,79.29799,0,
231.73355,79.265976,0,
231.78107,79.22792,0,
246.73456,64.32677,0,
246.80258,64.27498,0,
246.87845,64.235535,0,
246.95993,64.209595,0,
247.04465,64.19792,0,
247.1301,64.20085,0,
247.2138,64.21829,0,
247.29333,64.249756,0,
247.3663,64.2943,0,
247.43063,64.35062,0,
247.48444,64.41708,0,
247.52612,64.491745,0,
247.55447,64.57242,0,
247.56866,64.65674,0,
247.5683,64.74225,0,
247.55334,64.82643,0,
247.52426,64.906845,0,
247.48193,64.981125,0,
227.95068,93.30144,0.1,
227.89786,93.36583,0.1,
227.83505,93.42055,0.1,
227.76407,93.46408,0.1,
227.68686,93.49524,0.1,
227.60553,93.51314,0.1,
227.52234,93.5173,0.1,
227.43964,93.5076,0.1,
227.35968,93.4843,0.1,
227.2847,93.448044,0.1,
227.2168,93.39986,0.1,
227.1578,93.341064,0.1,
227.1094,93.2733,0.1,
227.0729,93.198425,0.1,
227.04938,93.11856,0.1,
227.0394,93.03587,0.1,
227.0433,92.95268,0.1,
227.06094,92.87131,0.1,
227.09186,92.793976,0.1,
248.49408,52.225555,0,
248.52527,52.147324,0,
248.54288,52.064957,0,
248.54642,51.98079,0,
248.5358,51.897232,0,
248.51126,51.81665,0,
248.47357,51.741333,0,
248.42377,51.6734,0,
248.36328,51.61479,0,
248.2938,51.567184,0,
248.21732,51.531906,0,
248.13599,51.509964,0,
248.05215,51.501984,0,
247.96814,51.508194,0,
247.88638,51.52841,0,
73.89096,111.557526,0,
73.81125,111.57742,0,
73.72937,111.583984,0,
73.64752,111.57706,0,
73.5679,111.55682,0,
73.492645,111.5238,0,
73.42386,111.47894,0,
73.36331,111.4234,0,
73.31268,111.35867,0,
73.273346,111.28656,0,
73.24634,111.208984,0,
73.23242,111.12802,0,
73.23193,111.04587,0,
73.2449,110.96475,0,
73.270966,110.88684,0,
73.30945,110.81427,0,
73.359314,110.74896,0,
123.90631,56.243225,0,
123.95828,56.17459,0,
123.99771,56.098053,0,
124.02344,56.015884,0,
124.03467,55.930527,0,
124.03107,55.844498,0,
124.01279,55.76036,0,
123.98035,55.68062,0,
123.93472,55.60762,0,
123.87723,55.543533,0,
123.8096,55.49025,0,
123.733826,55.44937,0,
123.65216,55.42209,0,
123.56702,55.409225,0,
123.48096,55.411148,0,
123.396484,55.42781,0,
28.669922,82.77156,0,
28.593048,82.80081,0,
28.521973,82.842255,0,
28.45868,82.89479,0,
28.404846,82.957,0,
28.361969,83.02719,0,
28.331146,83.103455,0,
28.313263,83.18375,0,
28.308777,83.265884,0,
28.31784,83.34766,0,
28.34018,83.42682,0,
28.375183,83.50125,0,
28.421936,83.568954,0,
28.479126,83.62805,0,
28.545258,83.67699,0,
73.46713,111.50903,0.1,
73.54175,111.547,0.1,
73.62164,111.57199,0.1,
73.70459,111.58331,0.1,
73.78827,111.58063,0.1,
73.8703,111.564026,0.1,
73.948456,111.533966,0.1,
74.02048,111.4913,0.1,
135.05563,68.034256,0,
135.1195,67.98018,0,
135.17346,67.916214,0,
135.216,67.84413,0,
135.24591,67.76596,0,
135.26236,67.6839,0,
135.26492,67.60025,0,
135.25345,67.51735,0,
135.22833,67.437515,0,
135.19028,67.362976,0,
135.14029,67.29585,0,
135.0798,67.23799,0,
135.01053,67.19104,0,
134.93439,67.156296,0,
134.85352,67.134735,0,
134.7702,67.12697,0,
134.68674,67.133224,0,
39.960175,82.26994,0,
39.876587,82.2908,0,
39.79782,82.325714,0,
39.726227,82.37363,0,
39.66391,82.43312,0,
39.612732,82.50241,0,
39.57422,82.57947,0,
39.5495,82.662,0,
39.539337,82.74754,0,
39.543976,82.83357,0,
39.563324,82.91751,0,
39.5968,82.9969,0,
39.643402,83.06935,0,
39.70172,83.13274,0,
39.77008,83.185165,0,
39.846436,83.22508,0,
39.928497,83.2513,0,
40.013855,83.26303,0,
136.74396,87.147125,0,
136.8292,87.15883,0,
136.91113,87.18497,0,
136.98737,87.22476,0,
137.05566,87.27704,0,
137.11398,87.340256,0,
137.16064,87.41252,0,
137.19418,87.491714,0,
137.21368,87.575485,0,
137.21854,87.66135,0,
137.20859,87.74678,0,
137.18414,87.829254,0,
137.14594,87.90631,0,
137.0951,87.97568,0,
137.03311,88.03529,0,
136.96182,88.08342,0,
136.88333,88.11862,0,
83.660675,106.67331,0,
83.58258,106.693634,0,
83.50223,106.70114,0,
83.42172,106.6956,0,
83.34314,106.6772,0,
83.268524,106.64639,0,
17.805695,72.064545,0,
17.727844,72.0327,0,
17.645752,72.01436,0,
17.561768,72.01004,0,
17.47821,72.01985,0,
17.397522,72.04352,0,
17.32193,72.0804,0,
17.25357,72.12941,0,
17.194427,72.18919,0,
17.146118,72.25806,0,
17.110016,72.33403,0,
17.087189,72.41498,0,
17.078247,72.49861,0,
17.083466,72.58255,0,
17.102661,72.664444,0,
30.286255,113.19177,0,
30.31961,113.27063,0,
30.365906,113.34262,0,
30.423828,113.40567,0,
30.491669,113.45792,0,
30.567413,113.4978,0,
30.648834,113.5242,0,
30.733582,113.536316,0,
30.819153,113.53381,0,
30.903046,113.51672,0,
30.982788,113.485565,0,
99.87659,78.40895,0,
99.9538,78.37857,0,
100.03497,78.36136,0,
100.11789,78.357834,0,
100.20026,78.36806,0,
100.279785,78.39177,0,
100.35428,78.4283,0,
100.42172,78.476654,0,
100.480225,78.53551,0,
100.5282,78.60321,0,
100.56433,78.67793,0,
100.587585,78.75758,0,
100.59735,78.84,0,
100.59335,78.92288,0,
100.57568,79.00397,0,
100.54486,79.081024,0,
100.50174,79.1519,0,
100.44745,79.21469,0,
100.383545,79.267624,0,
52.0437,112.959015,0,
51.972107,113.00058,0,
51.894653,113.029724,0,
51.813446,113.045715,0,
51.730713,113.048096,0,
51.648712,113.03677,0,
51.569702,113.012085,0,
51.49585,112.9747,0,
51.42917,112.92566,0,
10.094269,75.5509,0,
10.03833,75.50864,0,
-61.796127,29.960114,0,
-61.863647,29.907425,0,
-61.92119,29.843994,0,
-61.967056,29.771683,0,
-61.99991,29.692596,0,
-62.018784,29.60907,0,
-62.023132,29.523544,0,
-62.012817,29.438522,0,
-61.98816,29.356522,0,
-61.94986,29.279922,0,
-61.899048,29.210983,0,
-61.83722,29.151733,0,
-61.76619,29.103897,0,
-61.688034,29.068893,0,
-61.605057,29.04773,0,
-61.519684,29.04103,0,
-61.434418,29.048996,0,
87.00308,55.904465,0,
87.082306,55.925644,0,
87.15701,55.959488,0,
87.22519,56.00508,0,
87.28497,56.061203,0,
87.33481,56.126343,0,
87.37332,56.19876,0,
87.399445,56.276505,0,
87.41254,56.357468,0,
87.4122,56.43947,0,
87.39847,56.520325,0,
87.371735,56.597855,0,
87.33264,56.669952,0,
87.28232,56.73471,0,
87.22208,56.79036,0,
87.153534,56.835403,0,
87.07855,56.868652,0,
11.3949585,83.23584,0,
11.316071,83.25629,0,
11.234894,83.26366,0,
11.153595,83.25772,0,
11.074341,83.23868,0,
10.999268,83.207,0,
10.930298,83.16354,0,
10.869324,83.10947,0,
10.817932,83.04619,0,
-98.70856,-78.651665,0,
-98.754974,-78.70966,0,
-98.80946,-78.760155,0,
-98.87085,-78.80201,0,
-161.87134,-114.069084,0.1,
-161.94003,-114.11688,0.1,
-161.99979,-114.17547,0.1,
-162.04893,-114.243195,0.1,
-162.08609,-114.31818,0.1,
-162.11023,-114.3983,0.1,
-162.12067,-114.48132,0.1,
-162.11711,-114.56493,0.1,
-162.09967,-114.646774,0.1,
-162.0688,-114.72456,0.1,
-162.0254,-114.79611,0.1,
-161.97069,-114.85942,0.1,
-161.90617,-114.91272,0.1,
-161.83368,-114.95451,0.1,
-161.75522,-114.98363,0.1,
-161.673,-114.99925,0.1,
-161.58936,-115.000946,0.1,
-161.50658,-114.98866,0.1,
-45.524673,-86.67149,0,
-45.453674,-86.6601,0,
-45.381775,-86.65901,0,
-45.31047,-86.66824,0,
-45.241226,-86.68761,0,
-7.1552887,-100.35948,0,
-7.07695,-100.3955,0,
-7.005966,-100.44444,0,
-6.944458,-100.504845,0,
-6.894226,-100.57492,0,
-6.856781,-100.65259,0,
-6.8332367,-100.73552,0,
-6.824295,-100.82127,0,
-6.8302155,-100.90729,0,
-6.85083,-100.99101,0,
-6.8855133,-101.06995,0,
-6.933243,-101.14174,0,
-6.9925995,-101.20428,0,
-7.0618134,-101.255684,0,
-7.1388245,-101.29443,0,
-7.2213593,-101.31938,0,
-93.36458,-118.40718,0,
-93.44319,-118.43058,0,
-93.51692,-118.466515,0,
-93.58377,-118.51402,0,
-93.64197,-118.571815,0,
-93.689926,-118.63835,0,
-93.726364,-118.71182,0,
-93.750305,-118.79027,0,
-93.76109,-118.871574,0,
-93.75845,-118.95355,0,
-93.74245,-119.03399,0,
-93.713486,-119.110725,0,
-93.67239,-119.1817,0,
-93.62024,-119.245,0,
-93.55844,-119.29892,0,
-93.48866,-119.34202,0,
-93.412766,-119.37312,0,
-24.076828,-141.34578,0,
-23.995453,-141.36426,0,
-23.91214,-141.36896,0,
-23.829208,-141.35973,0,
-23.748962,-141.33684,0,
-23.673645,-141.3009,0,
-23.605347,-141.25296,0,
29.61731,-96.81937,0,
29.666107,-96.77269,0,
29.70816,-96.71987,0,
29.742737,-96.661865,0,
78.57086,-0.47045898,0,
78.60333,-0.3897705,0,
78.62134,-0.30467224,0,
78.6243,-0.21772766,0,
78.61218,-0.13160706,0,
78.5853,-0.0488739,0,
78.544495,0.027938843,0,
78.491,0.0965271,0,
78.42639,0.15480042,0,
78.35269,0.20100403,0,
78.272125,0.23373413,0,
78.18707,0.2519989,0,
78.10016,0.25523376,0,
78.01398,0.24337769,0,
77.93115,0.21676636,0,
77.85422,0.17619324,0,
77.78546,0.122909546,0,
77.72699,0.058502197,0,
7.2339478,-94.29678,0,
7.182434,-94.35462,0,
7.122589,-94.40381,0,
7.055908,-94.44316,0,
6.983917,-94.47174,0,
6.908386,-94.48886,0,
6.8311157,-94.49412,0,
6.7539673,-94.48737,0,
6.678772,-94.468796,0,
-212.73346,-20.76558,0,
-212.81555,-20.745895,0,
-212.89978,-20.74031,0,
-212.98375,-20.748978,0,
-213.06506,-20.771652,0,
-213.1414,-20.807678,0,
-213.2106,-20.856033,0,
-213.27068,-20.915329,0,
-213.31992,-20.983902,0,
-213.35692,-21.059769,0,
-213.38063,-21.140778,0,
-213.39038,-21.224632,0,
-213.38588,-21.30893,0,
-213.36726,-21.391266,0,
-213.33507,-21.4693,0,
-213.29019,-21.540802,0,
-170.98715,-76.11545,0,
-170.94225,-76.18701,0,
-170.91003,-76.26511,0,
-170.89143,-76.34751,0,
-170.88696,-76.43188,0,
-170.89677,-76.515785,0,
-170.92056,-76.59685,0,
-170.95766,-76.672745,0,
-171.007,-76.74131,0,
-171.0672,-76.8006,0,
-171.1365,-76.8489,0,
-171.21295,-76.88485,0,
-171.29436,-76.90741,0,
-171.3784,-76.91595,0,
-171.46269,-76.91021,0,
-171.5448,-76.890366,0,
