X,Y,
-85.9375,-148.193359375,
-70.3125,-148.193359375,
-101.5625,-147.705078125,
-111.328125,-146.728515625,
-123.046875,-145.751953125,
-149.90234375,-141.357421875,
-102.05078125,-138.916015625,
-56.640625,-141.357421875,
-32.71484375,-141.357421875,
-40.52734375,-141.357421875,
-48.33984375,-141.357421875,
-64.94140625,-141.357421875,
-23.92578125,-140.869140625,
-13.18359375,-139.404296875,
-4.39453125,-134.033203125,
-31.73828125,-132.080078125,
-80.078125,-140.869140625,
-90.33203125,-140.380859375,
-114.2578125,-136.962890625,
-72.265625,-136.962890625,
-48.33984375,-127.685546875,
-20.01953125,-129.638671875,
2.44140625,-129.638671875,
8.7890625,-125.244140625,
-9.27734375,-122.802734375,
18.5546875,-118.408203125,
24.90234375,-114.013671875,
2.44140625,-114.013671875,
42.96875,-112.548828125,
31.25,-109.619140625,
42.96875,-106.201171875,
14.16015625,-105.224609375,
-15.13671875,-104.736328125,
-57.12890625,-114.501953125,
-103.02734375,-126.708984375,
-124.51171875,-135.009765625,
-165.0390625,-137.451171875,
-136.23046875,-132.568359375,
-177.734375,-132.080078125,
-144.53125,-130.615234375,
-155.2734375,-130.126953125,
-113.76953125,-127.197265625,
-124.0234375,-126.708984375,
-133.7890625,-125.244140625,
-179.6875,-124.755859375,
-160.15625,-123.779296875,
-193.359375,-123.291015625,
-170.8984375,-122.802734375,
-148.4375,-122.802734375,
-186.5234375,-121.337890625,
-193.359375,-116.455078125,
-168.45703125,-115.966796875,
-161.62109375,-114.501953125,
-153.3203125,-114.501953125,
-143.5546875,-114.013671875,
-100.09765625,-112.548828125,
-93.26171875,-118.896484375,
-117.1875,-111.083984375,
-134.765625,-110.107421875,
-181.15234375,-109.130859375,
-198.2421875,-112.060546875,
-205.56640625,-110.107421875,
-160.15625,-107.177734375,
-153.3203125,-103.759765625,
-106.93359375,-106.201171875,
-125.9765625,-101.806640625,
-166.015625,-102.294921875,
-204.58984375,-103.271484375,
-229.00390625,-99.365234375,
-216.796875,-98.876953125,
-182.6171875,-98.876953125,
-157.71484375,-96.923828125,
-115.72265625,-100.830078125,
-163.57421875,-90.087890625,
-172.36328125,-96.923828125,
-207.03125,-96.435546875,
-191.89453125,-92.041015625,
-217.28515625,-91.552734375,
-200.68359375,-91.552734375,
-232.91015625,-90.576171875,
-208.0078125,-89.599609375,
-177.734375,-89.599609375,
-155.76171875,-89.599609375,
-169.921875,-85.205078125,
-204.58984375,-83.251953125,
-240.234375,-82.763671875,
-192.87109375,-81.787109375,
-161.62109375,-81.298828125,
-153.3203125,-80.810546875,
-171.38671875,-76.416015625,
-213.37890625,-80.810546875,
-179.19921875,-75.439453125,
-187.5,-74.462890625,
-196.2890625,-73.974609375,
-205.078125,-73.974609375,
-233.88671875,-72.021484375,
-246.58203125,-70.556640625,
-213.8671875,-70.068359375,
-166.50390625,-69.091796875,
-125.48828125,-73.974609375,
-83.984375,-80.810546875,
-45.8984375,-110.107421875,
-37.109375,-103.271484375,
-23.92578125,-101.318359375,
25.390625,-103.759765625,
-7.32421875,-100.830078125,
1.46484375,-99.365234375,
47.8515625,-97.900390625,
35.64453125,-96.923828125,
61.03515625,-96.923828125,
29.296875,-96.435546875,
22.4609375,-95.947265625,
14.6484375,-94.970703125,
6.8359375,-93.994140625,
-3.41796875,-93.017578125,
-43.9453125,-94.482421875,
-13.671875,-91.552734375,
-20.99609375,-90.576171875,
-28.3203125,-89.599609375,
-36.62109375,-88.623046875,
-45.41015625,-87.158203125,
-57.12890625,-85.205078125,
-64.453125,-84.228515625,
-72.265625,-82.763671875,
-91.796875,-80.810546875,
-99.12109375,-78.369140625,
-114.2578125,-75.927734375,
-140.625,-71.533203125,
-159.1796875,-70.556640625,
-149.90234375,-70.068359375,
-131.34765625,-68.603515625,
-119.140625,-67.138671875,
-110.3515625,-65.673828125,
-92.7734375,-62.255859375,
-73.73046875,-57.861328125,
-62.5,-54.931640625,
-51.26953125,-51.513671875,
-29.78515625,-44.677734375,
-39.55078125,-41.259765625,
-19.53125,-40.771484375,
-10.25390625,-37.353515625,
-48.828125,-36.865234375,
-26.85546875,-35.400390625,
-1.46484375,-34.423828125,
8.7890625,-29.541015625,
-7.8125,-28.564453125,
-51.7578125,-28.076171875,
-37.59765625,-26.123046875,
-16.6015625,-25.634765625,
2.44140625,-25.146484375,
20.01953125,-23.193359375,
12.20703125,-22.216796875,
-9.27734375,-19.775390625,
-50.78125,-20.263671875,
-19.53125,-16.845703125,
27.34375,-18.310546875,
35.15625,-19.287109375,
20.5078125,-14.404296875,
48.828125,-13.427734375,
7.32421875,-12.939453125,
-40.0390625,-13.916015625,
-48.33984375,-13.916015625,
-5.859375,-11.474609375,
36.1328125,-11.474609375,
57.6171875,-9.521484375,
28.80859375,-8.056640625,
42.48046875,-5.126953125,
67.3828125,-5.126953125,
78.125,-0.244140625,
58.59375,0.732421875,
17.578125,0.732421875,
-13.18359375,-1.220703125,
-44.43359375,-7.568359375,
-34.66796875,-6.103515625,
-40.52734375,-2.197265625,
2.9296875,1.708984375,
24.4140625,0.732421875,
47.36328125,1.220703125,
89.84375,4.150390625,
136.71875,-1.708984375,
174.31640625,-11.474609375,
164.55078125,-58.837890625,
131.34765625,-90.087890625,
82.51953125,-95.458984375,
92.28515625,-94.970703125,
140.625,-88.134765625,
108.88671875,-84.716796875,
158.69140625,-83.740234375,
121.09375,-80.810546875,
167.96875,-80.322265625,
180.17578125,-76.904296875,
131.34765625,-76.416015625,
92.28515625,-75.927734375,
58.10546875,-82.275390625,
23.92578125,-88.623046875,
41.50390625,-85.205078125,
79.58984375,-78.369140625,
142.578125,-71.044921875,
188.96484375,-70.068359375,
178.7109375,-70.068359375,
171.38671875,-69.580078125,
194.3359375,-65.185546875,
153.3203125,-65.185546875,
176.26953125,-62.744140625,
186.03515625,-60.791015625,
200.1953125,-58.837890625,
205.078125,-52.490234375,
185.05859375,-52.001953125,
198.2421875,-52.001953125,
176.7578125,-51.513671875,
209.47265625,-45.654296875,
192.87109375,-44.677734375,
199.70703125,-39.306640625,
219.7265625,-36.865234375,
207.03125,-34.423828125,
209.47265625,-27.099609375,
201.171875,-24.169921875,
229.98046875,-23.681640625,
193.359375,-19.775390625,
185.05859375,-15.869140625,
209.47265625,-15.869140625,
220.21484375,-15.380859375,
236.328125,-15.380859375,
198.2421875,-9.521484375,
166.50390625,-9.033203125,
214.35546875,-7.080078125,
184.08203125,-7.080078125,
157.71484375,-6.591796875,
202.63671875,-0.732421875,
243.1640625,-4.150390625,
243.65234375,6.591796875,
241.69921875,19.775390625,
226.5625,25.146484375,
191.89453125,3.662109375,
149.90234375,1.220703125,
166.9921875,1.708984375,
123.046875,2.197265625,
142.08984375,3.173828125,
106.93359375,4.638671875,
132.8125,5.126953125,
117.1875,7.568359375,
95.703125,8.056640625,
65.91796875,8.056640625,
38.57421875,6.591796875,
26.85546875,8.544921875,
49.8046875,9.033203125,
10.25390625,10.009765625,
-35.15625,3.662109375,
-23.92578125,3.662109375,
-30.2734375,8.544921875,
-79.1015625,7.568359375,
-121.58203125,-15.869140625,
-151.3671875,-54.931640625,
-175.78125,-63.232421875,
-161.62109375,-58.837890625,
-163.57421875,-40.771484375,
-162.59765625,-30.029296875,
-135.7421875,-19.287109375,
-127.9296875,-18.798828125,
-160.64453125,-17.822265625,
-209.47265625,-11.962890625,
-223.14453125,-55.908203125,
-246.58203125,-55.419921875,
-241.69921875,-49.072265625,
-248.53515625,-47.607421875,
-220.21484375,-47.607421875,
-228.02734375,-46.142578125,
-239.2578125,-42.724609375,
-248.53515625,-41.259765625,
-219.7265625,-36.865234375,
-236.81640625,-36.376953125,
-246.09375,-32.958984375,
-219.7265625,-27.099609375,
-247.55859375,-25.634765625,
-237.3046875,-22.705078125,
-212.890625,-21.240234375,
-232.91015625,-16.845703125,
-244.140625,-12.451171875,
-228.515625,-5.615234375,
-242.67578125,-4.638671875,
-208.984375,-3.173828125,
-159.66796875,-6.591796875,
-142.578125,-10.498046875,
-104.4921875,-10.986328125,
-118.65234375,-8.056640625,
-112.3046875,-7.568359375,
-94.23828125,-6.103515625,
-126.953125,-4.638671875,
-136.23046875,-4.638671875,
-144.53125,-3.173828125,
-106.93359375,-0.732421875,
-120.60546875,-0.732421875,
-128.90625,3.662109375,
-145.5078125,4.150390625,
-137.20703125,4.150390625,
-93.26171875,6.103515625,
-120.1171875,7.080078125,
-101.07421875,7.568359375,
-146.484375,11.474609375,
-193.359375,12.939453125,
-222.65625,-0.244140625,
-240.234375,4.150390625,
-214.84375,4.150390625,
-230.95703125,5.126953125,
-206.54296875,9.033203125,
-237.79296875,10.986328125,
-223.6328125,11.962890625,
-233.3984375,17.333984375,
-186.03515625,17.333984375,
-136.71875,13.427734375,
-93.26171875,12.939453125,
-86.9140625,14.404296875,
-78.61328125,16.357421875,
-71.2890625,17.822265625,
-24.4140625,12.939453125,
-12.6953125,9.521484375,
2.44140625,11.962890625,
18.06640625,11.962890625,
-3.41796875,16.845703125,
5.859375,18.798828125,
51.26953125,17.333984375,
35.64453125,18.798828125,
67.87109375,19.287109375,
104.4921875,12.939453125,
126.46484375,10.498046875,
172.36328125,10.498046875,
183.10546875,7.080078125,
147.4609375,10.986328125,
155.76171875,14.892578125,
120.60546875,17.333984375,
141.11328125,17.333984375,
131.8359375,17.822265625,
165.52734375,50.537109375,
206.54296875,36.865234375,
216.796875,31.982421875,
242.1875,35.888671875,
194.3359375,41.748046875,
231.93359375,43.212890625,
246.09375,44.677734375,
248.046875,52.001953125,
218.26171875,52.490234375,
177.24609375,47.607421875,
147.4609375,53.955078125,
136.71875,53.955078125,
114.74609375,55.419921875,
123.53515625,55.908203125,
99.609375,55.908203125,
57.6171875,29.541015625,
16.6015625,19.775390625,
-13.18359375,19.775390625,
24.90234375,20.263671875,
44.921875,21.728515625,
-1.46484375,24.169921875,
-28.80859375,21.728515625,
-63.96484375,19.287109375,
-94.7265625,19.287109375,
-126.953125,19.287109375,
-140.13671875,21.728515625,
-179.19921875,21.728515625,
-209.47265625,17.333984375,
-200.1953125,20.263671875,
-225.5859375,21.728515625,
-215.8203125,24.169921875,
-205.078125,25.634765625,
-198.73046875,26.123046875,
-168.45703125,28.564453125,
-148.4375,26.611328125,
-116.69921875,21.728515625,
-86.9140625,27.099609375,
-53.22265625,21.240234375,
-45.41015625,22.705078125,
-38.0859375,23.681640625,
-79.58984375,28.564453125,
-61.5234375,29.541015625,
-69.3359375,30.029296875,
-111.328125,32.958984375,
-134.765625,27.099609375,
-123.046875,29.541015625,
-142.08984375,31.005859375,
-161.62109375,32.958984375,
-154.78515625,37.353515625,
-146.484375,37.353515625,
-98.6328125,35.888671875,
-86.9140625,35.888671875,
-136.23046875,40.771484375,
-177.734375,39.794921875,
-142.578125,44.677734375,
-113.76953125,44.189453125,
-83.984375,42.724609375,
-91.30859375,43.212890625,
-104.00390625,46.142578125,
-125.9765625,49.072265625,
-167.96875,46.142578125,
-148.92578125,51.025390625,
-115.234375,53.466796875,
-82.51953125,50.048828125,
-95.21484375,52.001953125,
-135.25390625,53.955078125,
-142.08984375,55.908203125,
-109.86328125,59.326171875,
-79.1015625,56.884765625,
-48.828125,59.326171875,
-90.8203125,63.720703125,
-117.67578125,63.232421875,
-146.484375,62.744140625,
-139.6484375,64.697265625,
-100.5859375,68.115234375,
-77.1484375,64.208984375,
-32.71484375,66.162109375,
-3.90625,34.423828125,
32.2265625,26.123046875,
12.6953125,26.611328125,
20.5078125,27.587890625,
45.8984375,31.982421875,
8.7890625,47.607421875,
50.78125,52.490234375,
19.53125,55.419921875,
55.6640625,57.373046875,
86.9140625,56.396484375,
70.80078125,56.884765625,
78.61328125,56.884765625,
62.5,57.373046875,
44.921875,57.861328125,
34.1796875,58.349609375,
26.3671875,58.837890625,
13.671875,63.720703125,
56.15234375,65.185546875,
67.3828125,65.673828125,
45.8984375,66.650390625,
4.8828125,66.650390625,
38.57421875,70.556640625,
85.9375,69.091796875,
131.34765625,59.326171875,
151.85546875,63.720703125,
134.765625,67.626953125,
182.12890625,71.533203125,
212.40234375,56.396484375,
228.02734375,57.373046875,
204.58984375,61.279296875,
241.69921875,61.279296875,
247.0703125,64.697265625,
203.61328125,69.580078125,
190.91796875,68.115234375,
237.79296875,70.068359375,
213.8671875,70.556640625,
173.33984375,74.462890625,
164.0625,77.392578125,
136.23046875,78.857421875,
111.328125,78.369140625,
74.21875,75.439453125,
47.8515625,74.462890625,
17.578125,72.509765625,
-19.53125,71.044921875,
-2.9296875,74.951171875,
9.765625,75.927734375,
53.7109375,82.275390625,
100.09765625,78.857421875,
123.53515625,78.857421875,
88.8671875,79.345703125,
64.94140625,81.298828125,
40.0390625,82.763671875,
11.23046875,82.763671875,
28.80859375,83.251953125,
17.578125,95.458984375,
21.97265625,102.294921875,
22.4609375,110.107421875,
62.98828125,111.572265625,
83.49609375,106.201171875,
123.046875,104.248046875,
156.25,81.298828125,
201.171875,79.833984375,
242.67578125,74.951171875,
231.4453125,78.857421875,
238.28125,81.787109375,
191.89453125,84.716796875,
224.609375,85.693359375,
231.93359375,88.623046875,
182.6171875,88.623046875,
136.71875,87.646484375,
158.203125,91.552734375,
170.8984375,93.017578125,
215.33203125,92.529296875,
227.5390625,93.017578125,
204.58984375,98.876953125,
218.26171875,99.853515625,
195.3125,103.759765625,
158.203125,103.759765625,
145.01953125,93.994140625,
137.6953125,100.341796875,
146.97265625,105.224609375,
113.28125,106.201171875,
97.16796875,108.642578125,
136.71875,108.642578125,
186.03515625,108.154296875,
211.42578125,104.248046875,
203.125,108.642578125,
175.29296875,112.548828125,
194.3359375,113.037109375,
163.0859375,116.943359375,
184.5703125,117.431640625,
150.87890625,118.408203125,
106.93359375,114.501953125,
73.73046875,111.083984375,
51.7578125,112.548828125,
30.76171875,113.037109375,
37.109375,119.873046875,
86.42578125,116.943359375,
124.51171875,127.685546875,
140.625,121.337890625,
178.22265625,119.873046875,
171.875,122.314453125,
165.52734375,124.267578125,
158.69140625,126.708984375,
152.34375,128.662109375,
114.74609375,129.638671875,
84.47265625,129.638671875,
51.7578125,130.615234375,
11.23046875,130.615234375,
-30.2734375,119.384765625,
-72.265625,94.970703125,
-109.86328125,70.556640625,
-144.53125,69.091796875,
-133.7890625,72.021484375,
-91.796875,73.486328125,
-82.03125,72.509765625,
-74.70703125,74.951171875,
-102.05078125,77.392578125,
-140.625,79.833984375,
-133.30078125,79.833984375,
-91.796875,80.810546875,
-126.46484375,82.763671875,
-110.83984375,82.763671875,
-81.54296875,83.740234375,
-72.75390625,87.646484375,
-89.84375,88.134765625,
-137.6953125,86.181640625,
-126.953125,91.064453125,
-134.27734375,92.041015625,
-107.91015625,93.017578125,
-130.859375,97.412109375,
-120.1171875,99.853515625,
-101.5625,102.294921875,
-71.77734375,102.783203125,
-78.61328125,106.201171875,
-124.0234375,106.201171875,
-109.375,108.642578125,
-70.80078125,111.083984375,
-54.19921875,107.666015625,
-100.09765625,113.037109375,
-116.2109375,113.037109375,
-83.49609375,113.037109375,
-44.43359375,113.037109375,
-91.796875,114.013671875,
-108.88671875,117.919921875,
-68.84765625,117.919921875,
-98.14453125,122.314453125,
-60.546875,124.267578125,
-87.890625,124.267578125,
-73.73046875,124.755859375,
-81.0546875,124.755859375,
-66.89453125,124.755859375,
-49.31640625,128.662109375,
-10.25390625,125.732421875,
0.9765625,128.662109375,
41.015625,130.615234375,
76.66015625,134.521484375,
102.5390625,131.591796875,
144.04296875,131.103515625,
136.23046875,133.056640625,
93.26171875,132.568359375,
127.44140625,135.498046875,
119.140625,137.451171875,
112.79296875,138.427734375,
63.96484375,135.986328125,
55.6640625,136.474609375,
99.12109375,140.869140625,
105.95703125,139.892578125,
92.7734375,141.845703125,
86.42578125,142.333984375,
76.171875,143.798828125,
66.40625,144.287109375,
59.5703125,146.728515625,
17.578125,146.728515625,
-28.3203125,136.962890625,
-37.59765625,133.544921875,
-18.06640625,139.892578125,
1.46484375,144.287109375,
50.78125,147.216796875,
