X,Y,Z,
0,-230.25049,0,
-127.31594,-191.22894,0,
-127.396324,-191.19608,0,
-127.4698,-191.14981,0,
-127.53417,-191.0915,0,
-127.58748,-191.02296,0,
-127.62813,-190.94623,0,
-127.654884,-190.86362,0,
-127.66694,-190.77762,0,
-127.66394,-190.69083,0,
-127.645966,-190.60587,0,
-127.61356,-190.5253,0,
-127.5677,-190.45155,0,
-127.50978,-190.38686,0,
-127.44154,-190.33315,0,
-127.365036,-190.29207,0,
-127.28258,-190.26483,0,
-127.19665,-190.25229,0,
-2.861145,-184.02518,0,
-2.7924652,-184.01637,0,
-2.7256622,-183.99817,0,
103.40004,-145.96329,0,
103.48015,-145.94263,0,
103.562546,-145.93546,0,
103.645035,-145.94197,0,
103.725296,-145.96199,0,
103.80116,-145.99496,0,
103.87053,-146.04001,0,
103.93153,-146.09589,0,
103.98253,-146.16104,0,
104.02205,-146.2337,0,
104.04906,-146.31189,0,
104.06279,-146.39346,0,
104.06288,-146.4762,0,
104.04936,-146.5578,0,
104.02254,-146.63606,0,
103.9832,-146.70883,0,
103.93239,-146.77411,0,
103.871506,-146.83014,0,
7.881851,-220.2219,0,
7.819916,-220.27908,0,
7.768448,-220.34587,0,
7.728943,-220.42035,0,
7.7025146,-220.5004,0,
7.689911,-220.58377,0,
7.6914825,-220.66806,0,
7.7072144,-220.75089,0,
7.736618,-220.8299,0,
7.7789,-220.90285,0,
7.8328247,-220.96765,0,
7.896866,-221.02248,0,
7.969223,-221.06577,0,
8.047821,-221.09627,0,
8.130417,-221.11314,0,
8.214691,-221.1159,0,
8.298218,-221.10446,0,
8.378632,-221.07915,0,
8.453659,-221.04068,0,
114.90837,-154.56668,0,
114.97743,-154.51477,0,
115.036514,-154.45172,0,
115.08388,-154.37946,0,
115.11809,-154.30011,0,
115.13811,-154.21606,0,
115.14339,-154.12982,0,
115.13371,-154.04398,0,
115.10942,-153.96106,0,
115.07121,-153.88356,0,
115.02025,-153.81381,0,
114.95802,-153.75386,0,
114.8864,-153.70552,0,
114.80754,-153.67024,0,
114.72377,-153.64906,0,
114.63762,-153.64261,0,
114.55162,-153.6511,0,
114.4684,-153.67426,0,
-7.8822784,-199.43535,0,
-7.9600677,-199.47235,0,
-8.030334,-199.52217,0,
-8.091019,-199.58331,0,
-8.140305,-199.65395,0,
-8.176743,-199.732,0,
-8.199234,-199.81516,0,
-8.207123,-199.90092,0,
-8.200165,-199.98679,0,
-8.178589,-200.07016,0,
-8.143021,-200.14862,0,
-8.094498,-200.21979,0,
-8.0345,-200.28159,0,
-7.9647675,-200.33217,0,
-7.8874054,-200.37003,0,
49.434372,-222.52803,0,
49.504166,-222.5493,0,
49.57634,-222.56018,0,
49.649307,-222.56046,0,
49.721542,-222.5501,0,
49.79149,-222.52934,0,
49.85768,-222.49861,0,
131.26424,-177.21924,0,
131.33607,-177.17068,0,
131.39842,-177.11044,0,
131.44945,-177.04034,0,
131.4876,-176.96246,0,
131.5117,-176.87918,0,
131.52107,-176.793,0,
131.51543,-176.70648,0,
131.49489,-176.62222,0,
131.46013,-176.54282,0,
131.41216,-176.47058,0,
131.35243,-176.40771,0,
131.28273,-176.35614,0,
131.20518,-176.31735,0,
131.12212,-176.29257,0,
131.036,-176.2825,0,
130.94942,-176.28745,0,
67.847305,-185.43967,0,
67.776474,-185.45526,0,
67.70863,-185.48093,0,
67.64525,-185.51614,0,
67.5876,-185.56015,0,
67.53694,-185.61206,0,
41.525375,-216.44057,0,
41.47673,-216.50919,0,
41.440292,-216.58496,0,
41.41707,-216.6658,0,
41.4077,-216.74937,0,
41.41249,-216.83334,0,
41.43129,-216.91531,0,
41.463547,-216.99298,0,
41.508377,-217.06413,0,
41.56447,-217.12677,0,
41.630295,-217.17912,0,
41.703964,-217.2197,0,
41.78337,-217.24734,0,
41.866318,-217.2613,0,
41.950424,-217.26117,0,
42.03331,-217.24692,0,
42.112625,-217.219,0,
42.186142,-217.17818,0,
113.958786,-169.0086,0,
114.02315,-168.95724,0,
114.0782,-168.89603,0,
114.12248,-168.82658,0,
114.15474,-168.75082,0,
114.17415,-168.67079,0,
114.18013,-168.58867,0,
114.17256,-168.50667,0,
114.15166,-168.42703,0,
114.117935,-168.3519,0,
114.07234,-168.28333,0,
114.01613,-168.22314,0,
113.95079,-168.17303,0,
113.87813,-168.13431,0,
113.800064,-168.10803,0,
113.718765,-168.09494,0,
113.63643,-168.09537,0,
113.55528,-168.1093,0,
-7.582245,-200.38782,0.1,
-7.6676025,-200.4021,0.1,
-7.754135,-200.40144,0.1,
-7.839264,-200.38588,0.1,
-7.9204407,-200.35587,0.1,
-7.995224,-200.31232,0.1,
-8.061371,-200.25652,0.1,
-8.116913,-200.19016,0.1,
-8.1601715,-200.1152,0.1,
-8.189865,-200.0339,0.1,
-8.205093,-199.94872,0.1,
-8.205399,-199.86218,0.1,
-8.190781,-199.77689,0.1,
-8.161682,-199.69537,0.1,
-8.1189575,-199.62012,0.1,
-8.063904,-199.55336,0.1,
-7.9981537,-199.49709,0.1,
-7.9236755,-199.45299,0.1,
103.34801,-145.98477,0.1,
103.422745,-145.95598,0.1,
103.501175,-145.93948,0.1,
103.58119,-145.93573,0.1,
103.66081,-145.9448,0.1,
103.73793,-145.96648,0.1,
103.81062,-146.00018,0.1,
103.87697,-146.04507,0.1,
103.93532,-146.1,0.1,
130.65044,-177.11774,0.1,
130.71,-177.17361,0.1,
130.77788,-177.21907,0.1,
130.85222,-177.25285,0.1,
130.9311,-177.27408,0.1,
131.01237,-177.2822,0.1,
131.09389,-177.27696,0.1,
131.17345,-177.25853,0.1,
131.24898,-177.22739,0.1,
131.3184,-177.18436,0.1,
131.3799,-177.13062,0.1,
212.30476,-93.79727,0,
212.35838,-93.73175,0,
212.40019,-93.65813,0,
212.42897,-93.57851,0,
212.44392,-93.49518,0,
212.44456,-93.41051,0,
212.43095,-93.32695,0,
212.4034,-93.24689,0,
212.36275,-93.17262,0,
212.31017,-93.10628,0,
212.24712,-93.04974,0,
212.17546,-93.00467,0,
212.09721,-92.972336,0,
212.01463,-92.95366,0,
211.9301,-92.94919,0,
211.846,-92.95906,0,
211.76479,-92.982956,0,
211.68877,-93.02022,0,
211.6201,-93.06978,0,
129.90205,-164.63734,0,
129.87663,-164.6578,0,
69.063644,-209.13795,0,
69.00081,-209.19409,0,
68.94829,-209.26,0,
68.90758,-209.33377,0,
68.87984,-209.41335,0,
68.86586,-209.49644,0,
68.86604,-209.58072,0,
68.880356,-209.66376,0,
68.9084,-209.74321,0,
68.94942,-209.81683,0,
69.00221,-209.8825,0,
69.06526,-209.9384,0,
69.136826,-209.98291,0,
69.21486,-210.01476,0,
69.297104,-210.03305,0,
69.38127,-210.03728,0,
69.46495,-210.02731,0,
69.54576,-210.00343,0,
69.621414,-209.96632,0,
137.05879,-169.50389,0,
137.12709,-169.45464,0,
137.18617,-169.3946,0,
137.23433,-169.32553,0,
137.27022,-169.24933,0,
137.2928,-169.1682,0,
137.30147,-169.08443,0,
137.29591,-169.0004,0,
137.27635,-168.91849,0,
137.24333,-168.841,0,
137.19777,-168.77017,0,
137.14098,-168.70801,0,
137.07454,-168.65625,0,
137.00035,-168.61636,0,
136.92055,-168.58951,0,
136.83733,-168.57642,0,
36.16295,-161.35098,0,
36.090683,-161.35104,0,
36.01918,-161.36151,0,
35.949905,-161.38219,0,
35.884354,-161.41263,0,
-2.6473541,-183.96309,0.1,
-2.7214355,-183.99667,0.1,
-2.800003,-184.01782,0.1,
-2.880951,-184.02592,0.1,
-133.4389,-185.43457,0,
-133.52321,-185.44331,0,
-133.60484,-185.46619,0,
-133.68143,-185.5025,0,
-133.7508,-185.55124,0,
-133.81091,-185.611,0,
-133.86008,-185.68005,0,
-133.89688,-185.75641,0,
-133.92026,-185.8379,0,
-133.92952,-185.92216,0,
-133.92441,-186.00677,0,
-133.90509,-186.08932,0,
-133.8721,-186.1674,0,
-133.8264,-186.2388,0,
-133.76929,-186.30145,0,
-133.70242,-186.35355,0,
-133.62772,-186.3936,0,
-133.5473,-186.42046,0,
-12.160019,-215.80388,0,
-12.083603,-215.81622,0,
-12.006195,-215.8166,0,
-11.929657,-215.80505,0,
-11.85582,-215.7818,0,
-11.786453,-215.74745,0,
81.1808,-160.35245,0,
81.2505,-160.30234,0,
81.31062,-160.24103,0,
81.35936,-160.17032,0,
81.39528,-160.09233,0,
81.41734,-160.00934,0,
81.42485,-159.92381,0,
81.41765,-159.83826,0,
81.39589,-159.75519,0,
81.360245,-159.67706,0,
81.31175,-159.6062,0,
81.25185,-159.54468,0,
81.1823,-159.4943,0,
81.10518,-159.45657,0,
81.02272,-159.4326,0,
80.93739,-159.4231,0,
80.85167,-159.42831,0,
80.76814,-159.44812,0,
80.68919,-159.48195,0,
-10.351257,-208.1332,0,
-10.421661,-208.1788,0,
-10.483459,-208.23553,0,
-10.534897,-208.30179,0,
-10.574524,-208.37572,0,
-10.601242,-208.45523,0,
-10.614304,-208.53809,0,
-10.613312,-208.62196,0,
-10.598328,-208.7045,0,
-10.569748,-208.78336,0,
-10.528381,-208.85632,0,
-10.475418,-208.92137,0,
-10.412308,-208.97662,0,
-10.340851,-209.02057,0,
-10.263062,-209.05194,0,
28.754288,-221.09433,0,
28.837204,-221.1124,0,
28.922012,-221.11617,0,
29.00621,-221.10553,0,
29.087387,-221.08083,0,
29.163254,-221.04272,0,
113.941666,-169.0196,0.1,
114.01088,-168.96844,0.1,
114.0703,-168.90619,0.1,
114.11815,-168.83466,0.1,
114.153,-168.75597,0.1,
114.173874,-168.67247,0.1,
114.1801,-168.58664,0.1,
114.171524,-168.50099,0.1,
114.14839,-168.41809,0.1,
114.111404,-168.3404,0.1,
114.0616,-168.27019,0.1,
114.000534,-168.20956,0.1,
113.92995,-168.16031,0.1,
113.851974,-168.1239,0.1,
113.768906,-168.10138,0.1,
113.68318,-168.09346,0.1,
113.5974,-168.10034,0.1,
113.514084,-168.12184,0.1,
113.43565,-168.15732,0.1,
18.548935,-222.4978,0,
18.47258,-222.53253,0,
18.391495,-222.55402,0,
18.307968,-222.56165,0,
18.22435,-222.5552,0,
18.14296,-222.53487,0,
18.066147,-222.50122,0,
17.996017,-222.4552,0,
17.934555,-222.3981,0,
17.88353,-222.33154,0,
17.844345,-222.25739,0,
17.8181,-222.17772,0,
17.805527,-222.09479,0,
17.807022,-222.01093,0,
17.822495,-221.92848,0,
17.851547,-221.8498,0,
17.893326,-221.77707,0,
17.946701,-221.71234,0,
18.010117,-221.65746,0,
68.213394,-186.33868,0.1,
68.27559,-186.28506,0.1,
68.32814,-186.22202,0.1,
68.369675,-186.15118,0.1,
68.39906,-186.07452,0.1,
68.41551,-185.99408,0.1,
68.418564,-185.91205,0.1,
68.40816,-185.8306,0.1,
68.38457,-185.75197,0.1,
68.348434,-185.67825,0.1,
68.300705,-185.61145,0.1,
68.24269,-185.55334,0.1,
68.17595,-185.50552,0.1,
68.10231,-185.46927,0.1,
68.0237,-185.44556,0.1,
67.942276,-185.43503,0.1,
67.860214,-185.43796,0.1,
67.77977,-185.45428,0.1,
-9.976288,-209.05438,0.1,
-10.056854,-209.07071,0.1,
-10.138992,-209.07364,0.1,
-10.22052,-209.06305,0.1,
-10.299194,-209.03926,0.1,
-10.37291,-209.0029,0.1,
-10.439682,-208.95494,0.1,
-10.497681,-208.8967,0.1,
-10.545364,-208.82974,0.1,
-10.581421,-208.75587,0.1,
-10.604904,-208.6771,0.1,
-10.615143,-208.59554,0.1,
-10.611893,-208.5134,0.1,
-10.59523,-208.4329,0.1,
-10.565598,-208.35623,0.1,
-10.523804,-208.28545,0.1,
-10.470978,-208.22247,0.1,
36.48256,-162.20143,0.1,
36.53685,-162.13635,0.1,
36.57939,-162.06302,0.1,
36.608932,-161.98358,0.1,
36.62462,-161.90027,0.1,
36.62599,-161.81552,0.1,
36.613052,-161.73175,0.1,
36.586166,-161.65137,0.1,
36.546066,-161.57669,0.1,
36.49391,-161.50986,0.1,
36.43126,-161.45279,0.1,
36.359848,-161.40714,0.1,
36.281723,-161.3742,0.1,
36.199203,-161.35492,0.1,
36.11458,-161.34987,0.1,
36.03032,-161.35918,0.1,
35.948868,-161.38258,0.1,
35.872513,-161.41942,0.1,
35.803513,-161.46861,0.1,
0.63972473,-191.33374,0,
0.57907104,-191.395,0,
0.52983093,-191.46579,0,
0.49349976,-191.54398,0,
0.47113037,-191.62723,0,
0.46339417,-191.7131,0,
0.47053528,-191.79901,0,
0.49232483,-191.88243,0,
0.5281067,-191.96088,0,
0.57684326,-192.03198,0,
0.63708496,-192.09367,0,
0.707016,-192.1441,0,
0.78456116,-192.18176,0,
0.86743164,-192.20554,0,
0.9531555,-192.21474,0,
1.0391846,-192.20906,0,
1.1229553,-192.18869,0,
1.2019958,-192.15424,0,
90.320175,-142.62418,0,
90.39632,-142.59071,0,
90.476944,-142.57031,0,
90.55986,-142.56358,0,
90.642715,-142.57068,0,
90.72328,-142.59142,0,
90.79927,-142.62521,0,
90.86861,-142.67114,0,
90.92937,-142.72794,0,
114.050766,-168.25781,0.2,
114.09981,-168.32161,0.2,
114.137985,-168.39246,0.2,
114.16429,-168.4685,0.2,
114.178055,-168.54779,0.2,
114.17894,-168.62827,0.2,
114.166885,-168.70782,0.2,
114.14223,-168.78444,0.2,
