X,Y,Z,
-197.34375,-165.23438,0,
33.56775,-4.39415,0,
33.632904,-4.3398285,0,
33.687897,-4.275284,0,
33.73123,-4.202362,0,
33.761597,-4.123184,0,
33.778137,-4.0399933,0,
33.780396,-3.9552155,0,
33.76828,-3.8712769,0,
33.742157,-3.7905884,0,
33.70279,-3.7154694,0,
33.651276,-3.6480865,0,
33.58911,-3.590393,0,
33.518097,-3.5440216,0,
33.440277,-3.5103302,0,
33.35785,-3.4902802,0,
33.273254,-3.484436,0,
33.188873,-3.492981,0,
33.107147,-3.5156708,0,
33.030426,-3.551834,0,
-125.407074,-95.426834,0,
-125.47695,-95.47577,0,
-125.5375,-95.53587,0,
-125.58694,-95.60539,0,
-125.62385,-95.68231,0,
-125.64714,-95.76437,0,
-125.65614,-95.84921,0,
-125.6506,-95.93434,0,
-125.63066,-96.01729,0,
-125.59691,-96.09564,0,
-125.55033,-96.167114,0,
-125.49228,-96.22962,0,
-125.424446,-96.28136,0,
-125.34881,-96.32081,0,
-125.267555,-96.346825,0,
-125.183075,-96.35866,0,
-125.0978,-96.35595,0,
-125.01424,-96.33878,0,
-124.93481,-96.30766,0,
-86.02855,-77.08891,0,
-85.97447,-77.05785,0,
62.536957,22.214111,0,
62.6102,22.25412,0,
62.689056,22.281403,0,
62.771362,22.295181,0,
62.854797,22.29509,0,
62.937073,22.281113,0,
63.01587,22.253647,0,
63.08899,22.21347,0,
63.15442,22.161682,0,
63.210327,22.099731,0,
63.255157,22.029358,0,
63.28766,21.9525,0,
63.306915,21.871307,0,
63.31241,21.78804,0,
63.303986,21.705017,0,
63.28186,21.624557,0,
63.246674,21.548904,0,
63.1994,21.480148,0,
63.141327,21.420212,0,
32.952423,-3.6077118,0.1,
32.894318,-3.667694,0.1,
32.847015,-3.7364807,0.1,
32.81183,-3.8121948,0.1,
32.789734,-3.8927155,0.1,
32.78131,-3.9757843,0.1,
32.786865,-4.0590973,0.1,
32.806183,-4.14032,0.1,
32.838776,-4.217209,0.1,
32.883667,-4.2875824,0.1,
32.939667,-4.349518,0.1,
33.005188,-4.4012604,0.1,
33.07843,-4.441391,0.1,
33.157288,-4.4687653,0.1,
33.239624,-4.4826355,0.1,
33.32312,-4.4826202,0.1,
33.405457,-4.468704,0.1,
33.484314,-4.441284,0.1,
33.557526,-4.401123,0.1,
75.276276,23.255127,0,
75.340576,23.305801,0,
75.39575,23.366287,0,
75.44031,23.434967,0,
75.47308,23.509995,0,
75.49313,23.58937,0,
75.5,23.670944,0,
75.49344,23.752548,0,
75.47366,23.832,0,
75.44119,23.90715,0,
75.39688,23.975998,0,
75.34192,24.036682,0,
75.2778,24.087585,0,
75.20624,24.12735,0,
75.12915,24.154907,0,
75.048615,24.16951,0,
74.966736,24.170761,0,
46.841736,22.295761,0,
46.757812,22.282944,0,
46.677246,22.256104,0,
46.602386,22.216019,0,
46.5354,22.163849,0,
46.47818,22.10109,0,
46.432434,22.029556,0,
46.399445,21.95131,0,
46.380157,21.868607,0,
46.375183,21.783844,0,
46.384583,21.699448,0,
46.408142,21.617874,0,
46.44516,21.541458,0,
46.494568,21.472397,0,
74.44293,-9.753647,0,
74.48999,-9.818817,0,
74.52603,-9.890671,0,
74.55008,-9.967377,0,
74.56152,-10.046951,0,
74.56006,-10.127335,0,
74.545746,-10.206436,0,
74.51895,-10.282227,0,
74.48035,-10.352737,0,
74.43094,-10.416138,0,
74.37201,-10.470825,0,
74.30505,-10.51535,0,
5.382431,-47.609657,0,
5.375702,-47.613457,0,
-118.8132,-120.19904,0,
-118.8838,-120.232605,0,
-118.95876,-120.254745,0,
-119.036255,-120.26494,0,
-119.114395,-120.262924,0,
-119.19126,-120.248764,0,
-119.26499,-120.22279,0,
-119.33376,-120.185646,0,
-141.83377,-105.654396,0,
-141.90067,-105.60267,0,
-141.9579,-105.540405,0,
-142.00381,-105.46939,0,
-142.03711,-105.391655,0,
-142.05684,-105.30942,0,
-142.06241,-105.22504,0,
-142.05368,-105.140915,0,
-142.03091,-105.05947,0,
-141.99474,-104.98303,0,
-141.9462,-104.91378,0,
-141.88667,-104.8537,0,
-141.81787,-104.80451,0,
-141.74179,-104.767624,0,
-70.601974,-78.513626,0,
-70.56709,-78.49869,0,
10.098343,-39.157562,0,
10.177841,-39.127853,0,
10.26123,-39.112015,0,
10.346085,-39.110504,0,
10.429977,-39.123367,0,
10.510483,-39.150238,0,
10.585281,-39.19034,0,
10.652222,-39.242508,0,
10.709381,-39.305252,0,
10.755096,-39.376755,0,
10.788055,-39.45497,0,
10.807327,-39.53763,0,
10.812332,-39.622345,0,
10.802933,-39.706696,0,
10.779404,-39.78824,0,
10.742432,-39.86464,0,
10.693069,-39.93367,0,
10.632736,-39.993362,0,
10.563171,-40.041992,0,
-89.74933,-98.16699,0,
-89.82594,-98.2031,0,
-89.90756,-98.22575,0,
-89.99182,-98.23431,0,
-90.076324,-98.228516,0,
-90.158646,-98.20854,0,
-90.236404,-98.17496,0,
-90.30737,-98.12873,0,
-90.36954,-98.07119,0,
-90.42108,-98.00398,0,
-90.460556,-97.92904,0,
-90.4868,-97.84851,0,
-90.499084,-97.7647,0,
-90.49704,-97.68002,0,
-90.48073,-97.59691,0,
-90.45062,-97.51774,0,
-90.40759,-97.44478,0,
-90.35286,-97.380135,0,
-90.28801,-97.32565,0,
90.649506,30.174347,0,
90.72241,30.216995,0,
90.80148,30.246765,0,
90.88443,30.262802,0,
90.96887,30.264633,0,
91.05243,30.252228,0,
91.13272,30.225937,0,
91.20743,30.186493,0,
91.274445,30.13504,0,
91.33182,30.073044,0,
91.37796,30.002274,0,
91.4115,29.924744,0,
91.43152,29.842667,0,
91.43744,29.758392,0,
91.42911,29.674332,0,
91.40671,29.59288,0,
91.37094,29.516342,0,
91.322784,29.44693,0,
91.26361,29.386612,0,
10.638626,-39.988388,0.1,
10.57106,-40.03734,0.1,
10.496292,-40.07437,0.1,
10.416412,-40.098465,0.1,
10.333633,-40.108932,0.1,
10.250275,-40.105484,0.1,
10.16864,-40.088226,0.1,
10.091019,-40.057648,0.1,
10.019562,-40.014572,0.1,
9.956253,-39.96022,0.1,
-20.512497,-9.02272,0,
-20.561691,-8.964478,0,
-20.60147,-8.899429,0,
-20.63089,-8.829102,0,
-20.649277,-8.755112,0,
-26.743027,27.338638,0,
-26.749985,27.425003,0,
-26.741943,27.511276,0,
-26.719131,27.594849,0,
-26.68222,27.673248,0,
-26.63234,27.74408,0,
-26.570969,27.805252,0,
14.383469,60.788498,0,
14.443344,60.8479,0,
14.492386,60.916534,0,
14.52919,60.992416,0,
14.552704,61.073425,0,
14.562286,61.157227,0,
14.557632,61.24144,0,
14.538895,61.323685,0,
14.506607,61.401596,0,
14.46167,61.472977,0,
14.40538,61.535797,0,
14.339325,61.588257,0,
14.265396,61.62886,0,
14.185699,61.656464,0,
14.102478,61.670273,0,
14.018143,61.669907,0,
13.935059,61.655365,0,
13.855606,61.62706,0,
-17.081894,47.56456,0,
-17.154541,47.523926,0,
-17.219437,47.471817,0,
-17.274796,47.409653,0,
-17.319061,47.339157,0,
-17.351028,47.262314,0,
-17.369812,47.18123,0,
-17.374878,47.098145,0,
-16.437378,5.3793945,0,
-16.431854,5.3157196,0,
-16.418259,5.2532654,0,
-7.0192413,-24.003265,0,
-7.003647,-24.080322,0,
-7.0003357,-24.158875,0,
-7.009369,-24.236984,0,
-7.030548,-24.312698,0,
-7.063324,-24.38417,0,
-7.106903,-24.449615,0,
-7.160202,-24.507416,0,
-7.2218933,-24.556152,0,
-7.2904663,-24.594604,0,
-31.665466,-35.844604,0,
-31.745544,-35.87358,0,
-31.829361,-35.888535,0,
-31.91452,-35.88907,0,
-31.99852,-35.875122,0,
-32.078934,-35.847137,0,
-32.153442,-35.805923,0,
-32.21988,-35.752655,0,
-32.276306,-35.688873,0,
-32.32109,-35.616455,0,
-32.35295,-35.53749,0,
-32.37094,-35.454254,0,
-32.374542,-35.369186,0,
-32.363663,-35.28473,0,
-32.338608,-35.203354,0,
-32.30011,-35.12741,0,
-32.249283,-35.059082,0,
-32.18759,-35.00038,0,
-32.116837,-34.953003,0,
74.75815,24.109497,0.1,
74.83215,24.142853,0.1,
74.91055,24.163803,0.1,
74.9913,24.171799,0.1,
75.072296,24.166626,0.1,
