X,Y,
-197.34375,-165.234375,
-190.3125,-164.296875,
-180,-162.890625,
-204.375,-160.078125,
-173.90625,-157.734375,
-167.34375,-155.390625,
-186.09375,-154.453125,
-160.78125,-153.984375,
-175.78125,-150.703125,
-210.9375,-150.703125,
-199.21875,-149.765625,
-156.09375,-147.890625,
-168.28125,-145.546875,
-181.875,-145.546875,
-148.59375,-145.546875,
-175.3125,-141.796875,
-215.15625,-143.671875,
-195,-140.859375,
-160.3125,-140.390625,
-144.84375,-138.984375,
-190.3125,-135.703125,
-216.09375,-136.640625,
-183.28125,-135.703125,
-165.46875,-135.703125,
-199.21875,-134.765625,
-172.96875,-133.828125,
-151.875,-133.359375,
-158.4375,-131.015625,
-138.28125,-130.546875,
-179.0625,-130.078125,
-209.53125,-129.609375,
-190.78125,-127.265625,
-170.625,-125.859375,
-132.1875,-127.265625,
-139.21875,-123.515625,
-161.25,-120.234375,
-201.09375,-123.984375,
-178.59375,-120.234375,
-188.90625,-119.765625,
-195.46875,-119.765625,
-154.21875,-118.359375,
-109.6875,-120.234375,
-119.0625,-119.765625,
-166.40625,-115.546875,
-204.375,-117.890625,
-183.75,-114.609375,
-191.25,-113.671875,
-175.3125,-113.203125,
-132.65625,-114.140625,
-114.375,-113.203125,
-142.5,-112.265625,
-149.53125,-108.984375,
-163.125,-108.984375,
-122.34375,-108.046875,
-105.9375,-107.578125,
-89.0625,-105.703125,
-114.84375,-103.828125,
-156.09375,-107.109375,
-180.9375,-107.578125,
-173.4375,-106.171875,
-141.5625,-105.234375,
-166.40625,-102.421875,
-132.1875,-100.078125,
-97.96875,-101.953125,
-81.09375,-101.015625,
-106.875,-99.140625,
-90,-97.734375,
-73.59375,-96.796875,
-96.5625,-93.046875,
-125.15625,-95.859375,
-112.03125,-92.109375,
-78.75,-92.109375,
-69.84375,-91.640625,
-63.28125,-90.703125,
-88.59375,-88.359375,
-119.53125,-89.765625,
-111.09375,-84.609375,
-98.90625,-84.609375,
-55.78125,-86.484375,
-49.21875,-85.546875,
-80.625,-83.671875,
-64.21875,-83.203125,
-104.53125,-80.859375,
-70.78125,-78.046875,
-45.46875,-80.390625,
-86.25,-76.640625,
-52.03125,-76.171875,
-96.09375,-75.703125,
-59.0625,-70.546875,
-36.09375,-74.765625,
-42.65625,-74.765625,
-28.125,-70.078125,
-75,-70.078125,
-86.71875,-69.609375,
-93.28125,-69.609375,
-78.75,-64.921875,
-32.8125,-64.921875,
-18.28125,-69.609375,
-10.3125,-64.453125,
-45.9375,-63.046875,
-21.09375,-62.578125,
-60.46875,-61.640625,
-73.125,-61.171875,
-38.90625,-59.296875,
-1.875,-59.296875,
44.0625,-67.734375,
61.875,-79.453125,
53.90625,-76.171875,
71.71875,-75.234375,
65.625,-73.359375,
48.75,-72.421875,
79.6875,-71.015625,
80.625,-64.921875,
51.09375,-64.921875,
87.1875,-64.453125,
67.96875,-61.171875,
37.96875,-59.765625,
87.1875,-57.421875,
93.75,-56.015625,
75,-54.609375,
50.15625,-54.140625,
5.15625,-54.609375,
-14.53125,-58.828125,
-50.625,-55.546875,
-60.9375,-54.140625,
-28.125,-52.734375,
-1.875,-52.265625,
36.5625,-53.203125,
-9.84375,-51.796875,
11.25,-51.328125,
42.65625,-50.390625,
92.34375,-49.453125,
98.90625,-50.859375,
63.28125,-47.578125,
81.5625,-47.109375,
34.6875,-46.640625,
5.625,-48.046875,
-43.125,-51.328125,
-55.78125,-50.859375,
-50.625,-47.578125,
-18.75,-46.640625,
15.9375,-45.234375,
48.75,-44.296875,
97.5,-41.953125,
137.34375,-41.953125,
123.75,-41.953125,
144.84375,-41.484375,
151.40625,-41.015625,
130.78125,-39.609375,
103.125,-35.859375,
56.25,-41.015625,
23.90625,-41.015625,
-1.875,-42.421875,
-45.46875,-43.828125,
-30.46875,-43.828125,
-10.78125,-41.953125,
34.21875,-39.609375,
10.3125,-39.609375,
-37.5,-38.671875,
-31.875,-35.390625,
17.8125,-35.390625,
44.53125,-36.796875,
70.3125,-37.265625,
80.15625,-37.265625,
117.65625,-34.921875,
155.15625,-35.859375,
162.1875,-34.453125,
125.15625,-34.453125,
110.15625,-34.453125,
89.0625,-33.984375,
57.65625,-31.640625,
25.78125,-30.703125,
-23.90625,-33.984375,
-2.34375,-33.984375,
6.09375,-32.578125,
-13.125,-32.109375,
-30.46875,-29.296875,
13.59375,-27.890625,
37.96875,-26.015625,
66.09375,-27.890625,
104.53125,-29.296875,
144.84375,-31.171875,
169.21875,-32.578125,
186.09375,-31.640625,
179.53125,-28.828125,
134.53125,-28.828125,
160.78125,-27.421875,
119.53125,-27.421875,
75.9375,-26.015625,
47.8125,-25.546875,
93.28125,-25.546875,
56.25,-20.390625,
25.78125,-21.796875,
-7.5,-24.140625,
-25.3125,-21.796875,
0.46875,-18.984375,
8.90625,-18.984375,
44.53125,-18.046875,
70.3125,-18.515625,
80.15625,-17.109375,
32.34375,-16.640625,
18.28125,-16.171875,
