X,Y,Z,
-99.906204,167.91745,0,
-181.05511,-69.72679,0,
-181.07501,-69.80646,0,
-181.08162,-69.888306,0,
-181.07474,-69.97012,0,
-181.05455,-70.04973,0,
-181.0216,-70.12494,0,
-180.9768,-70.19374,0,
-180.92134,-70.2543,0,
-180.85672,-70.30495,0,
-180.78467,-70.344345,0,
-180.70715,-70.371414,0,
-180.62624,-70.38544,0,
-180.54413,-70.38602,0,
-180.46303,-70.37317,0,
-180.38513,-70.3472,0,
-180.31253,-70.30884,0,
-102.45137,-20.590271,0,
-102.392105,-20.545929,0,
-102.34004,-20.493332,0,
-102.296326,-20.43364,0,
-102.26189,-20.368134,0,
-102.23749,-20.298264,0,
-43.63495,202.28699,0,
-43.606033,202.36697,0,
-43.563995,202.44089,0,
-43.51004,202.50659,0,
-43.445724,202.56223,0,
-43.37291,202.60614,0,
-43.293716,202.63708,0,
-43.21042,202.65417,0,
-43.125443,202.65689,0,
-43.041214,202.64517,0,
-42.960205,202.61935,0,
-42.884735,202.5802,0,
-42.816986,202.52881,0,
-42.75894,202.46667,0,
-42.71225,202.3956,0,
-42.678284,202.31766,0,
-42.65802,202.23508,0,
-42.652023,202.15024,0,
-42.660507,202.06564,0,
-56.262756,129.36395,0,
-56.283905,129.2862,0,
-56.317276,129.21286,0,
-56.362,129.14581,0,
-56.4169,129.08685,0,
-56.480576,129.03745,0,
-56.551346,128.99893,0,
-161.14798,82.56366,0,
-161.2286,82.53583,0,
-161.3128,82.522095,0,
-161.3981,82.52289,0,
-161.48203,82.53815,0,
-161.56212,82.567474,0,
-161.63608,82.609985,0,
-161.70172,82.66443,0,
-161.75717,82.72925,0,
-161.80078,82.80255,0,
-161.8313,82.88223,0,
-161.84784,82.96591,0,
-161.84991,83.05118,0,
-161.83746,83.13556,0,
-161.81085,83.21661,0,
-161.77084,83.29196,0,
-161.71861,83.359406,0,
-161.65567,83.41696,0,
-161.58386,83.46301,0,
13.838272,175.86453,0,
13.916351,175.89752,0,
13.998871,175.91687,0,
14.083481,175.922,0,
14.167755,175.91275,0,
14.249237,175.8894,0,
14.325607,175.85263,0,
14.394669,175.80347,0,
14.4544525,175.74338,0,
14.503204,175.67404,0,
14.539551,175.59744,0,
14.562424,175.51584,0,
14.5711975,175.43152,0,
14.565598,175.34692,0,
14.545792,175.26453,0,
-31.431366,40.026276,0,
-31.447815,39.963318,0,
-31.455948,39.898743,0,
-33.801163,0.9681549,0,
-33.800247,0.8953552,0,
-33.788757,0.82347107,0,
-33.766953,0.7539978,0,
-33.73529,0.68844604,0,
-33.694443,0.6281738,0,
-33.64528,0.57447815,0,
16.542343,-46.798874,0,
16.601791,-46.84694,0,
16.667862,-46.88539,0,
16.739029,-46.913315,0,
16.813614,-46.93007,0,
16.889908,-46.935257,0,
70.82115,-45.466248,0,
70.89998,-45.4718,0,
70.97691,-45.4897,0,
71.050095,-45.5195,0,
71.11766,-45.560455,0,
71.17793,-45.61154,0,
144.11287,-119.49164,0,
144.17879,-119.54674,0,
144.25316,-119.58974,0,
144.33382,-119.61937,0,
144.41835,-119.63475,0,
144.50426,-119.63544,0,
144.589,-119.621414,0,
144.67012,-119.59308,0,
144.7452,-119.551285,0,
144.81197,-119.49724,0,
144.86855,-119.43257,0,
144.9132,-119.35918,0,
144.94463,-119.27922,0,
144.9619,-119.19505,0,
144.96452,-119.10918,0,
144.95238,-119.024124,0,
144.92589,-118.9424,0,
144.88576,-118.866425,0,
144.83324,-118.79843,0,
90.893295,-60.168045,0,
90.82985,-60.11,0,
90.7574,-60.06369,0,
90.678116,-60.030487,0,
-10.471741,-28.618668,0,
-10.532135,-28.594864,0,
-10.5889435,-28.56343,0,
-10.64119,-28.524902,0,
-42.829742,-0.08673096,0,
-42.897125,-0.038864136,0,
-42.97148,-0.0027618408,0,
-43.050766,0.020614624,0,
-43.132828,0.030593872,0,
-43.215393,0.026916504,0,
-43.29625,0.009689331,0,
-43.37314,-0.020614624,0,
-43.444,-0.063186646,0,
-81.32149,-28.548447,0,
-81.369934,-28.579239,0,
-81.42157,-28.604279,0,
-123.16642,-45.958878,0,
-123.22952,-45.9803,0,
-200.8793,-65.65196,0,
-200.95047,-65.676834,0,
-201.0171,-65.71211,0,
-201.07767,-65.757,0,
-225.46791,-86.86394,0,
-225.52802,-86.92578,0,
-225.57658,-86.99704,0,
-225.6122,-87.07558,0,
-225.63379,-87.15907,0,
-225.64072,-87.24504,0,
-225.63275,-87.3309,0,
-225.61017,-87.41414,0,
-225.57361,-87.49225,0,
-225.52417,-87.56291,0,
-225.46333,-87.62402,0,
-225.3929,-87.67378,0,
-225.31496,-87.71069,0,
-225.23183,-87.73366,0,
-225.146,-87.742004,0,
-225.06,-87.73547,0,
-224.97641,-87.714264,0,
-224.8977,-87.679,0,
-133.45126,-35.67935,0,
-133.3936,-35.651947,0,
-133.33292,-35.63211,0,
-38.3369,-12.210297,0,
-38.264404,-12.185577,0,
-38.196518,-12.15007,0,
-38.134872,-12.104614,0,
-38.080887,-12.050262,0,
-38.035843,-11.988327,0,
-38.00078,-11.920212,0,
-37.976532,-11.847565,0,
23.905228,239.3335,0,
23.932724,239.4137,0,
