X,Y,Z,
7.8125,-235.35156,0,
109.63254,-174.74496,0,
109.69949,-174.6968,0,
109.75763,-174.63828,0,
109.80533,-174.57098,0,
109.84134,-174.49677,0,
109.864655,-174.41763,0,
109.87463,-174.33575,0,
109.871,-174.25336,0,
102.54678,-116.63617,0,
102.5296,-116.55525,0,
102.49933,-116.47828,0,
102.45676,-116.40736,0,
102.403076,-116.34442,0,
102.33978,-116.29119,0,
102.268555,-116.24913,0,
102.191376,-116.21939,0,
102.11032,-116.202774,0,
102.02768,-116.19975,0,
101.94565,-116.210396,0,
101.866486,-116.23442,0,
101.79239,-116.271164,0,
101.72534,-116.319626,0,
101.667206,-116.37847,0,
101.6196,-116.4461,0,
101.58374,-116.52065,0,
82.54077,-166.32535,0,
82.51773,-166.40477,0,
82.50809,-166.48691,0,
82.512146,-166.56952,0,
82.529724,-166.65033,0,
82.560425,-166.72714,0,
82.60333,-166.79785,0,
82.65732,-166.8605,0,
82.72092,-166.91339,0,
82.79233,-166.9551,0,
82.86966,-166.98444,0,
82.950775,-167.00064,0,
83.03345,-167.00325,0,
83.11539,-166.99219,0,
227.15836,-135.2539,0,
227.23712,-135.2296,0,
227.31082,-135.19269,0,
227.37747,-135.14415,0,
227.43521,-135.08533,0,
227.48251,-135.01782,0,
227.5181,-134.94347,0,
227.54095,-134.86427,0,
227.5505,-134.7824,0,
227.54648,-134.70007,0,
206.53555,16.53601,0,
206.53125,16.603653,0,
206.53613,16.67128,0,
206.55011,16.73761,0,
227.53192,87.2663,0,
227.54803,87.349884,0,
227.54971,87.43503,0,
227.53693,87.519196,0,
227.51007,87.599976,0,
227.46988,87.67502,0,
227.41754,87.74219,0,
227.35455,87.79947,0,
227.28278,87.845245,0,
227.20428,87.878204,0,
136.07697,116.22336,0,
135.99826,116.25641,0,
135.92633,116.30237,0,
135.86325,116.35986,0,
135.81088,116.42728,0,
102.47037,169.70554,0,
102.41925,169.77158,0,
102.35785,169.82819,0,
102.2879,169.87381,0,
102.2113,169.90714,0,
102.13028,169.92725,0,
44.354095,178.21729,0,
44.272675,178.23755,0,
44.19577,178.27112,0,
44.12558,178.31708,0,
6.65567,208.88995,0,
6.5864563,208.9354,0,
6.5107117,208.96875,0,
6.430481,208.9892,0,
6.3479614,208.9961,0,
6.265442,208.98929,0,
6.185211,208.96896,0,
6.1094055,208.93567,0,
6.0401306,208.89032,0,
5.979294,208.8342,0,
-25.998825,172.51346,0,
-26.049057,172.46582,0,
-26.105377,172.42557,0,
-26.166733,172.3935,0,
-26.231934,172.37021,0,
-85.58447,156.73135,0,
-85.65567,156.70538,0,
-85.72212,156.66895,0,
-85.7823,156.6229,0,
-85.83484,156.56827,0,
-85.87851,156.50635,0,
-85.91232,156.4385,0,
-108.37326,101.262726,0,
-108.39816,101.183044,0,
-108.40947,101.10034,0,
-108.40686,101.01688,0,
-108.390396,100.93503,0,
-108.36055,100.857086,0,
-108.31813,100.78516,0,
-108.26434,100.72131,0,
-108.20068,100.6673,0,
-108.12894,100.62463,0,
-108.05107,100.59448,0,
-107.969284,100.57773,0,
-107.88585,100.5748,0,
-107.803085,100.585815,0,
-107.72331,100.61044,0,
-107.64876,100.64798,0,
-107.58148,100.69742,0,
-107.52336,100.757385,0,
-107.47603,100.82614,0,
-70.36665,165.76755,0,
-70.33154,165.84296,0,
-70.3094,165.92316,0,
-70.30087,166.00592,0,
-70.30618,166.08893,0,
-70.32518,166.16992,0,
-70.357346,166.24664,0,
-70.401794,166.31696,0,
-70.457275,166.37894,0,
-70.52228,166.43088,0,
-70.594986,166.47131,0,
-70.673386,166.49911,0,
-70.75531,166.51355,0,
-70.8385,166.51419,0,
-70.92064,166.50104,0,
-70.999466,166.47446,0,
-71.0728,166.43515,0,
-71.138596,166.38425,0,
-71.19504,166.32315,0,
-223.53879,-28.989365,0,
-223.5845,-29.059326,0,
-223.61792,-29.13594,0,
-223.63812,-29.217041,0,
-223.64452,-29.300385,0,
-223.63695,-29.383621,0,
-223.61562,-29.464432,0,
-223.58113,-29.540558,0,
-223.53444,-29.609894,0,
-223.47684,-29.670456,0,
-223.40997,-29.720596,0,
-223.33568,-29.758896,0,
-223.25604,-29.784286,0,
-223.1733,-29.796051,0,
-223.08974,-29.793869,0,
-223.00772,-29.777786,0,
-222.92952,-29.748291,0,
-27.558762,64.41626,0,
-27.481308,64.44556,0,
-27.400085,64.46167,0,
-27.317322,64.46414,0,
-27.23529,64.45294,0,
104.60065,35.156067,0,
104.670715,35.13501,0,
104.73694,35.103973,0,
104.79791,35.0636,0,
104.852356,35.01477,0,
104.89911,34.958496,0,
104.93713,34.896027,0,
153.85193,-62.728073,0,
153.89722,-62.80046,0,
153.95416,-62.864075,0,
154.02112,-62.917084,0,
154.0961,-62.95793,0,
154.17697,-62.985413,0,
154.26132,-62.998734,0,
154.34668,-62.997513,0,
154.43063,-62.98178,0,
154.51065,-62.951996,0,
