X,Y,
7.8125,-235.3515625,
17.578125,-235.3515625,
-3.90625,-228.02734375,
29.78515625,-227.5390625,
-12.20703125,-223.6328125,
16.6015625,-223.6328125,
36.62109375,-222.16796875,
43.45703125,-217.7734375,
-0.9765625,-216.796875,
-22.4609375,-220.21484375,
-31.73828125,-217.7734375,
-38.57421875,-216.30859375,
-45.41015625,-214.35546875,
-59.5703125,-210.44921875,
-20.01953125,-209.47265625,
-66.40625,-208.0078125,
-33.69140625,-206.0546875,
13.18359375,-207.51953125,
50.78125,-214.35546875,
60.546875,-210.44921875,
30.76171875,-209.9609375,
69.82421875,-207.03125,
76.171875,-204.58984375,
47.36328125,-203.61328125,
81.54296875,-201.66015625,
87.890625,-198.73046875,
62.98828125,-197.75390625,
34.1796875,-198.2421875,
22.94921875,-192.87109375,
-24.4140625,-189.453125,
-53.7109375,-200.68359375,
-74.70703125,-204.58984375,
-81.0546875,-201.171875,
-90.33203125,-194.82421875,
-67.3828125,-189.94140625,
-81.54296875,-188.96484375,
-97.16796875,-187.5,
-55.17578125,-181.15234375,
-42.48046875,-187.5,
-1.953125,-187.98828125,
38.57421875,-181.640625,
80.56640625,-190.4296875,
93.75,-194.82421875,
99.609375,-189.453125,
105.46875,-182.12890625,
92.28515625,-181.15234375,
109.375,-174.31640625,
131.34765625,-172.36328125,
144.53125,-171.875,
152.34375,-171.38671875,
121.09375,-171.38671875,
159.66796875,-169.43359375,
114.74609375,-169.43359375,
66.89453125,-171.38671875,
35.15625,-166.9921875,
-10.25390625,-178.7109375,
12.6953125,-172.8515625,
-17.08984375,-168.45703125,
-48.828125,-164.0625,
-86.42578125,-174.8046875,
-101.07421875,-179.6875,
-122.55859375,-175.29296875,
-110.3515625,-175.29296875,
-129.39453125,-173.828125,
-140.625,-169.43359375,
-148.92578125,-165.52734375,
-155.2734375,-162.109375,
-124.51171875,-158.69140625,
-87.40234375,-160.15625,
-107.421875,-157.71484375,
-139.16015625,-157.71484375,
-166.015625,-156.25,
